gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
A3GALT2,1023.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.257313722528426,457.5158223357457,0.018849969648806447,0.0,0.0,6.887378443369237,0.6065237047013681,0.29059810743489123,0.07404578590101955,0.1262,0.1288,0,0,1,0,0
AADACL3,1224.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.05323395051142348,0.3577668472686317,0.29059810743489123,0.07404578590101955,-0.009257142857142858,0.0726199275512653,0,1,8,0,0
AADACL4,1224.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.16627714552348574,0.4525506379213564,0.29059810743489123,0.07404578590101955,-0.0373,0.04331391231463627,0,0,4,0,0
ABCA4,6822.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.96714321545631,370.0,-0.001895926,0.0,1.0,6.451310363520457,2.873206382026744,0.8833471987431245,0.05866010525824776,-0.04917333333333333,0.15365861931206098,1,0,11,0,0
ABCB10,2217.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,17.964811264563924,277.0,0.02002447,2.798207415238828e-05,12.0,9.041990986979718,0.5020493752058088,0.07057511438279186,0.017785780411030398,0.10098888888888888,0.15568427769363113,0,0,4,0,0
ABCD3,1980.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,18.81072412480923,348.0,-0.007712561,0.00016227685446233104,50.0,10.423166899362524,0.5888457595473704,0.09421185343623296,0.026076577323289968,0.036025,0.0901636948832511,0,0,4,0,0
ABL2,3549.0,0.18181818181818185,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,18.32539769382264,301.0,0.0055768530000000005,0.00013322127512867526,35.0,9.828505872145797,0.5682637453834055,0.3299727717249457,0.25594601311111936,0.09717619047619046,0.13496111222888968,0,0,13,0,0
ACADM,1278.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,17.22067023076923,578.0,-0.01324586,8.213403646317276e-05,49.0,9.870913193407487,0.5709965301815322,0.017757756555490525,0.0072026568056536375,-0.03135,0.1449878701823018,0,0,9,0,0
ACAP3,2505.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,20.73398019066006,273.0,0.02773012,2.23720235201786e-08,2.0,9.522616106455347,0.8058635013283342,0.29059810743489123,0.07404578590101955,0.01971872082391186,0.08672725229327734,0,0,6,0,0
ACBD3,1587.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.52879231723525,214.0,0.02416004,0.00014136214738912968,24.0,10.942621750102015,0.4956229789053755,0.07632275110848627,0.02562901740158453,0.119425,0.2347822115812865,0,0,2,0,0
ACBD6,849.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0508825108068,445.0,0.01167259,2.050000935228513e-06,3.0,8.929538063077187,0.5220442277839759,0.07802843364923329,0.029591149437923982,0.01971872082391186,0.08672725229327734,0,0,1,0,0
