gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
ACBD3	1587	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.03546728143287817	0.15389766473697986	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
ADAMTSL4	3225	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1475649.0	152.0	0.03127347	0.0005887446183600722	107.0
AHDC1	4812	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.03785584494245912	0.16179474133774124	738004.3	217.0	0.02515438	3.121233630167117e-05	10.0
APOA1BP	867	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.33123550844650546	0.6972261181598879	2049505.0	180.0	0.03700808	1.4979174865977625e-05	16.0
APOA2	303	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.39323633503735744	1.0	0.03551136363636364	0.1540448342077359	728669.0	234.0	0.03749509	1.5201837499182342e-05	12.0
ASPM	10434	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2604166666666667	0.6108000954686552	221778.5	614.0	-0.02455929	4.4378853334342045e-05	20.0
ATAD3B	1947	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6854009595613434	0.9443120421800196	1714469.0	248.0	0.02688662	5.1949212601205046e-05	36.0
ATAD3C	1236	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3762227238525207	0.7440082619605167	1725369.0	187.0	0.02728094	2.2670096203953265e-07	3.0
ATP13A2	3543	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2901073397156948	0.6491164164591611	678964.8	221.0	0.05227663	0.000615106166323408	54.0
AVPR1B	1275	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.16583747927031509	0.4638054744177603	755855.8	400.0	0.0101593	0.0	1.0
BCL9	4281	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	639527.5117415735	453.12966601178783	0.01873318645945692	5.969847888224832e-06	6.0
C1orf61	471	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.1926040061633282	0.5098457202237652	2199280.0	201.0	0.02683985	0.0	0.0
CACNA1E	6942	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2560819462227913	0.6049315706252623	111355.8	832.0	0.009653621999999999	4.1100815478365905e-07	2.0
CD46	1200	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	321738.2	372.0	0.007994274	8.803762407191889e-06	10.0
CELF3	1398	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1210719.0	255.0	0.02879102	2.7452327803118863e-06	7.0
CEP170	4755	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.34164673727365896	0.7085678195113594	180287.8	1024.0	7.20333e-05	0.0002639317655121488	55.0
CFHR4	1737	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.023177656738903697	0.1104314876801546	211450.2	853.0	-0.03058845	4.561928455092702e-07	4.0
CRB1	4221	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.7418397626112759	0.9633694454674446	212549.3	428.0	-0.023053599999999997	7.838456296376963e-07	3.0
DARS2	1938	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.16121231662098984	0.4554301218750575	442818.8	385.0	0.01116695	3.1133331940682205e-05	14.0
DENND2C	2787	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	626567.8	394.0	0.008273818	0.0	1.0
DNAH14	13548	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	461776.5	791.0	-0.01506508	5.755860181942545e-06	4.0
DNASE2B	1086	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6858710562414266	0.944489460621719	235918.5	769.0	-0.01269815	0.00018021628003407668	31.0
DOCK7	6390	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.34199726402188785	1.0	0.7905138339920948	0.9763415985608566	222018.1	474.0	0.004226009	0.00019221967093953083	51.0
DPYD	3078	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	64695.69	807.0	-0.006060657	3.600179809164583e-06	8.0
EDEM3	2799	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.1927525057825752	0.5100902595324206	370601.0	493.0	0.00356193	1.6829380567629997e-06	4.0
EIF4G3	4866	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.13349352556401015	0.4023097450227936	661924.1	406.0	0.02246105	2.3718788358441488e-05	30.0
EPB41	2595	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	619053.2	227.0	0.03038793	4.4892101337364345e-05	30.0
EPS8L3	1785	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.09567546880979716	0.3202060225467245	933010.3	190.0	0.02734447	0.00010499756890564912	5.0
FAM129A	2787	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3315649867374005	0.6975900033639622	349491.5	479.0	0.003461918	7.198020603351469e-07	5.0
FBXO2	891	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5467468562055768	0.8768558608030228	682356.6	264.0	0.03248092	9.64469498907296e-05	27.0
FCRLB	1281	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.07606298014756219	0.27201594247466865	598281.0	504.0	0.0203368	0.0	0.0
FLG	12186	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.4952947003467063	0.8432899154684005	433644.6	548.0	0.0211065	1.1831619324855965e-05	13.0
FNBP1L	1818	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.21992522542335605	0.5529948702095611	621312.8	224.0	0.002433659	1.5181922984736426e-05	14.0
FPGT-TNNI3K	2850	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	639527.5117415735	453.12966601178783	0.01873318645945692	0.0	0.0
FUCA1	1401	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	903440.6	254.0	0.03223257	2.333652460987053e-06	7.0
GBP3	1788	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4071661237785016	0.7730187338293552	316278.5	598.0	0.00480742	0.0	1.0
GNPAT	2043	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	380550.2	569.0	0.008088567	4.7799928363498056e-05	15.0
GPBP1L1	1425	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.004379999999999999	0.028166494709120776	913415.5	157.0	0.02831155	1.765269243462661e-06	5.0
GPR52	1086	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4158004158004158	0.7806860305853325	639527.5117415735	453.12966601178783	0.01873318645945692	8.010869220994754e-05	29.0
HAPLN2	1023	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2049505.0	180.0	0.03700808	0.0	0.0
HMCN1	16908	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.026752273943285183	0.12362589090496028	260399.8	509.0	-0.019329	9.05324271089669e-08	3.0
HORMAD1	1185	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.5599104143337066	0.8846464067493321	1611525.0	178.0	0.04242383	1.3423799003364098e-07	2.0
ILDR2	1920	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.024914046539438937	0.11690476646859566	261602.0	681.0	-0.009118567	0.0	0.0
KCND3	1968	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	320241.1	623.0	0.02271684	0.0005487082219337242	34.0
KIF14	4947	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	361991.8	370.0	0.006814943	1.985970912632554e-05	15.0
KISS1	417	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	557651.6	370.0	0.03423691	0.00010421338130940838	2.0
KLHDC8A	1053	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2850627137970353	0.6428295537371542	662921.0	249.0	0.04138571	0.0	0.0
LDLRAP1	927	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.18389113644722324	0.4952944733744538	562106.7	424.0	0.01874798	3.6892014618510393e-06	10.0
LHX8	1071	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	162631.2	959.0	-0.02334772	1.8996983576407847e-06	6.0
LMO4	498	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	279257.0	521.0	-0.009918747	0.0003649631726500457	60.0
LOR	939	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	836875.8	556.0	0.02374774	4.036056263280482e-06	8.0
LPPR5	966	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.21570319240724764	0.5465599494127493	37516.23	947.0	-0.01718246	0.0	0.0
LYST	11406	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.1927153594141453	0.5100291000935832	438215.9	401.0	0.009341832	3.64811812867024e-05	23.0
