Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
AHCTF1	NA	6828	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF19	NA	2409	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
C1orf86	NA	693	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf94	NA	1797	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CADM3	NA	1299	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CELSR2	NA	8772	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CHD5	NA	5865	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CHML	NA	1971	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CNST	NA	2178	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
COL9A2	NA	2070	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CR1L	NA	1710	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
DCDC2B	NA	1050	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
DNAJC8	NA	762	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DR1	NA	531	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ELTD1	NA	2073	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ESRRG	NA	1413	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
EYA3	NA	1722	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
F5	NA	6675	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
FCRL1	NA	1290	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
GNB1	NA	1023	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
IL24	NA	624	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ITPKB	NA	2841	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
JAK1	NA	3465	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
LCE4A	NA	300	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
