gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
A3GALT2	1023	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.03027092477675193	0.1361455306638974	625033.4732845911	459.9333805095026	0.018382919206535144	0.0	0.0
AADACL3	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.1437607820586544	1.0	0.6451612903225806	0.9279064070523582	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.2857142857142857	0.0	0.0	0.5714285714285714	0.0	1.0	0.14285714285714285	0.0	1.0	0.0	1.3333333333333333	1.6666666666666667	1.0	1.0	0.5230125523012552	0.8620030411240636	512481.5	370.0	-0.001895926	0.0	1.0
ABCB10	2217	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.06411078343377356	0.2402322541933777	255826.4	277.0	0.02002447	2.798207415238828e-05	12.0
ABCD3	1980	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.4037141703673799	0.7699023619326695	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ABL2	3549	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5793742757821553	0.8956005751223848	328468.0	301.0	0.0055768530000000005	0.00013322127512867526	35.0
ACBD3	1587	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.1692047377326565	1.0	0.6743088334457181	0.9400317351016824	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
ACOT7	1143	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.293513354857646	0.6533114583735925	643589.5	176.0	0.02580471	8.441698555815318e-05	25.0
ACTA1	1134	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3885003885003885	0.7558123967264705	243405.2	361.0	0.02946144	0.0010771302966454367	109.0
ACTN2	2685	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.3333333333333333	1.3333333333333333	1.0	1.0	0.6329113924050633	0.9224207892651112	427179.7	682.0	-0.009612596	0.00024635454564851135	62.0
ACTRT2	1134	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	308009.3	634.0	0.01910433	0.0	0.0
ADAM30	2373	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.8438818565400844	0.9871247042929068	390094.2	560.0	0.009313993000000001	0.0	0.0
ADAMTS4	2514	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.2344665885111372	0.5745468185096467	728669.0	234.0	0.03749509	1.26441181554528e-06	3.0
ADAMTSL4	3225	0.25	0.0	0.0	0.75	0.0	1.0	0.0	0.0	1.0	0.0	1.5	1.5	1.0	1.0	0.3331112591605596	0.6992933821489908	1475649.0	152.0	0.03127347	0.0005887446183600722	107.0
ADAR	3681	0.25	0.0	0.0	0.75	0.0	1.0	0.0	0.0	1.0	0.0	1.5	1.5	1.0	1.0	0.41152263374485604	0.7769099824495709	1927515.0	403.0	0.03639176	2.7678090715688286e-05	39.0
ADCK3	1944	0.5	0.0	0.5	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.5	0.1238696890870804	1.0	1.0	1.0	411155.6	481.0	0.004611321	0.0001259815539826139	13.0
ADCY10	4833	0.125	0.125	0.0	0.75	0.0	1.0	0.0	0.0	1.0	0.0	3.0	3.5	0.5015045135406219	1.0	0.1963864886095837	0.5160390182040772	534610.7	238.0	0.01328722	0.0	0.0
ADIPOR1	1128	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.17094017094017094	0.4728960104690198	421205.7	389.0	0.03032769	3.8266747506163036e-05	11.0
ADORA3	1044	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.05468664552116373	0.21361346055683228	374092.3	330.0	0.02739502	4.1604108441729285e-06	12.0
ADPRHL2	1092	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3105590062111801	0.6737209191168685	853739.5	282.0	0.02710964	4.582696043844408e-06	10.0
ADSS	1371	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.6830601092896175	0.943423781105956	710088.2	534.0	0.002229515	4.507730553260728e-05	40.0
AGL	4599	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.8064516129032258	0.9799285319491496	289704.4	595.0	0.008860483	0.00015715112145144264	47.0
