gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
A3GALT2	1023	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5837711617046117	0.8979837824529964	604513.9276700855	478.08646469899884	0.017022098825273065	0.0	0.0
AADACL4	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4001600640256102	0.7666629259114907	145424.0	454.0	0.02278783	0.0	0.0
ACBD3	1587	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	-0.0	0.0	2.0	2.0	1.0	1.0	0.4113533525298232	0.7767596443167365	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
ACOT11	1824	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	688013.7	415.0	0.01756964	7.678666519753551e-08	4.0
ACTA1	1134	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	243405.2	361.0	0.02946144	0.0010771302966454367	109.0
ACTL8	1101	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	249962.3	416.0	0.02650356	0.0	1.0
ACTN2	2685	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	5.0	1.0	1.0	0.2616431187859759	0.6124473693924861	427179.7	682.0	-0.009612596	0.00024635454564851135	62.0
ACTRT2	1134	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2661698163428267	0.6184777126941262	308009.3	634.0	0.01910433	0.0	0.0
ADAM30	2373	0.5	0.0	0.0	0.0	0.0	1.0	0.5	0.0	1.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	390094.2	560.0	0.009313993000000001	0.0	0.0
ADAR	3681	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	3.0	1.0	1.0	0.17373175816539266	0.4778045151190276	1927515.0	403.0	0.03639176	2.7678090715688286e-05	39.0
ADCK3	1944	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	411155.6	481.0	0.004611321	0.0001259815539826139	13.0
ADCY10	4833	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.8277293767706428	0.0	5.0	5.0	1.0	1.0	0.2824060999717594	0.6394829633238539	534610.7	238.0	0.01328722	0.0	0.0
ADORA1	981	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4636068613815485	0.8199899709814648	469028.9	453.0	0.03682687	9.132376682258703e-06	7.0
AGBL4	1512	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.4518752824220515	0.8108219887342578	16483.19	1041.0	-0.01843567	0.0	0.0
AGL	4599	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6934812760055479	0.9473169478937292	289704.4	595.0	0.008860483	0.00015715112145144264	47.0
AGRN	6138	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.13943112102621305	0.41413616226197497	1971475.0	239.0	0.01491109	9.33204613905154e-06	10.0
