Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
A3GALT2	NA	1023	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AADACL3	NA	1224	4	0	0	0	0	0	4	0	1.0	0.0	0.0	1.0
AADACL4	NA	1224	7	2	0	0	0	0	7	3	0.7580392711198944	0.0	0.0	0.8333333333333335
ABCA4	NA	6822	21	9	4	0	0	0	17	0	1.0	1.0	0.0	0.9113840806943275
ABCB10	NA	2217	6	1	1	0	0	0	5	0	1.0	1.0	0.0	0.9166666666666666
ABCD3	NA	1980	5	0	1	0	0	0	4	0	1.0	0.0	0.0	1.0
ABL2	NA	3549	13	4	1	0	0	0	12	0	1.0	1.0	0.0	0.9733541703813188
ACADM	NA	1278	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACAP3	NA	2505	3	2	0	0	0	0	3	0	1.0	0.0	1.0	1.0
ACBD3	NA	1587	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ACBD6	NA	849	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACOT11	NA	1824	4	2	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ACOT7	NA	1143	5	0	0	0	0	0	5	0	1.0	1.0	0.0	1.0
ACP6	NA	1287	4	0	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ACTA1	NA	1134	6	3	0	0	0	0	6	0	1.0	1.0	0.0	1.0
ACTL8	NA	1101	3	2	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ACTN2	NA	2685	6	9	0	0	0	0	6	0	1.0	1.0	0.0	1.0
ACTRT2	NA	1134	3	3	1	0	0	0	2	0	1.0	1.0	0.0	0.8982265179691364
ADAM15	NA	2592	5	1	0	0	0	0	5	0	1.0	1.0	0.0	0.9999999999999999
ADAM30	NA	2373	8	0	2	0	0	0	6	0	1.0	3.0	0.0	0.6949146629676184
ADAMTS4	NA	2514	8	1	0	0	0	0	8	0	1.0	1.0	0.0	0.8795880017344075
ADAMTSL4	NA	3225	14	4	0	0	0	0	14	0	1.0	3.0	0.0	0.9267672896410715
ADAR	NA	3681	12	2	0	0	0	0	12	0	1.0	0.0	0.0	0.9249572757036592
ADCK3	NA	1944	1	5	0	0	0	0	1	0	1.0	2.0	0.0	0.9166666666666666
ADCY10	NA	4833	9	2	1	0	0	0	8	0	1.0	5.0	0.0	0.7576597655573916
ADIPOR1	NA	1128	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADORA1	NA	981	4	2	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ADORA3	NA	1044	4	0	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ADPRHL2	NA	1092	4	3	0	0	0	0	4	0	1.0	0.0	0.0	0.8982265179691364
ADSS	NA	1371	4	0	2	0	0	0	2	0	1.0	0.0	0.0	0.75
AGBL4	NA	1512	11	3	0	0	2	0	9	0	1.0	0.0	0.0	0.9249572757036592
AGL	NA	4599	14	2	2	0	2	0	10	0	1.0	2.0	0.0	0.7667187592866301
AGMAT	NA	1059	2	3	0	0	0	0	2	0	1.0	2.0	0.0	0.8982265179691364
AGRN	NA	6138	17	5	1	0	0	0	16	0	1.0	1.0	0.0	0.9231079201886944
AGT	NA	1458	5	1	1	0	0	0	4	0	1.0	1.0	0.0	0.8982265179691364
AGTRAP	NA	480	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AHCTF1	NA	6828	15	4	0	0	0	0	15	0	1.0	0.0	0.0	0.975220114382459
AHCYL1	NA	1593	1	1	0	0	0	0	1	0	1.0	1.0	0.0	1.0
AHDC1	NA	4812	13	9	0	0	0	0	13	0	1.0	3.0	0.0	0.9590436283308409
AIDA	NA	921	4	0	0	0	0	0	4	0	1.0	1.0	0.0	1.0
AIM1L	NA	4986	5	1	0	0	0	0	5	0	1.0	1.0	0.0	0.8982265179691366
AIM2	NA	1032	4	1	1	0	0	0	3	0	1.0	1.0	0.0	0.8710490642551527
AJAP1	NA	1236	6	3	0	0	0	0	6	0	1.0	0.0	0.0	0.9298966940476158
AK4	NA	672	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AK5	NA	1689	5	1	0	0	1	0	4	0	1.0	0.0	0.0	1.0
AKNAD1	NA	2511	8	1	1	0	0	0	7	0	1.0	1.0	0.0	0.8193820026016112
AKR1A1	NA	978	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AKR7A2	NA	1080	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AKR7A3	NA	996	3	1	0	0	0	0	3	0	1.0	0.0	0.0	0.75
AKT3	NA	1440	4	1	0	0	0	0	4	0	1.0	1.0	0.0	1.0
ALDH4A1	NA	1692	6	2	0	0	1	0	5	0	1.0	0.0	0.0	0.9166666666666666
ALDH9A1	NA	1557	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ALG14	NA	651	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ALG6	NA	1524	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ALPL	NA	1575	2	2	0	0	0	0	2	0	1.0	1.0	0.0	1.0
ALX3	NA	1032	1	1	0	0	0	0	1	0	1.0	1.0	0.0	1.0
AMIGO1	NA	1482	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
AMPD1	NA	2343	13	1	0	0	0	0	13	3	0.9011575366850628	0.0	0.0	0.8732737098805868
AMPD2	NA	2640	4	4	0	0	0	0	4	0	1.0	2.0	0.0	0.9397940008672039
AMY2A	NA	1536	3	0	0	0	0	0	3	0	1.0	1.0	0.0	1.0
AMY2B	NA	1536	3	3	1	0	0	0	2	0	1.0	0.0	0.0	1.0
ANGEL2	NA	1635	4	2	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ANGPTL1	NA	1476	6	2	1	0	0	0	5	0	1.0	1.0	0.0	0.8597933880952318
ANGPTL7	NA	1041	4	0	0	0	0	0	4	0	1.0	0.0	0.0	0.75
ANKRD13C	NA	1626	4	1	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ANKRD34A	NA	1491	3	2	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ANKRD35	NA	3006	7	1	0	0	0	0	7	0	1.0	0.0	0.0	1.0
ANKRD45	NA	801	5	1	0	0	0	0	5	0	1.0	0.0	0.0	1.0
ANKRD65	NA	1200	7	1	0	0	0	0	7	4	0.5929060718765461	0.0	1.0	0.7195867761904634
ANP32E	NA	807	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANXA9	NA	1038	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
AP4B1	NA	2220	5	0	0	0	0	0	5	0	1.0	1.0	0.0	1.0
APCS	NA	672	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
APOA1BP	NA	867	0	3	0	0	0	0	0	0	1.0	0.0	0.0	1.0
APOA2	NA	303	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
APOBEC4	NA	1104	5	1	1	0	0	0	4	0	1.0	1.0	0.0	0.6946795539074094
AQP10	NA	906	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ARF1	NA	546	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ARHGAP29	NA	3786	8	1	1	0	0	0	7	0	1.0	2.0	0.0	0.8224908743082041
ARHGAP30	NA	3306	5	3	0	0	0	0	5	0	1.0	0.0	0.0	1.0
ARHGEF10L	NA	3840	7	1	0	0	0	0	7	0	1.0	2.0	0.0	0.8795880017344075
ARHGEF11	NA	4689	9	2	1	0	0	0	8	0	1.0	5.0	0.0	0.7264097655573916
ARHGEF16	NA	2130	3	5	0	0	1	0	2	0	1.0	0.0	0.0	1.0
ARHGEF19	NA	2409	1	0	0	0	0	0	1	0	1.0	1.0	0.0	1.0
ARHGEF2	NA	2961	6	2	0	0	0	0	6	0	1.0	0.0	0.0	1.0
ARID1A	NA	6858	18	2	6	0	0	0	12	0	1.0	12.0	0.0	0.5183834373377398
ARID4B	NA	3939	4	2	1	0	0	0	3	0	1.0	3.0	0.0	0.7195867761904634
ARNT	NA	2370	0	1	0	0	0	0	0	0	1.0	1.0	0.0	1.0
ARPC5	NA	465	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
