gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
ACBD3,1587.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.52879231723525,214.0,0.02416004,0.00014136214738912968,24.0,9.382439239491653,0.6040594685622769,0.04529825952970214,0.019922880255145548,0.20535,0.20445,0,0,1,0,0
ADAM15,2592.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69431792441802,214.0,0.04370952,7.289549375923378e-05,31.0,9.661745426243606,1.0983846445580905,0.0753276398232189,0.07311539028684227,-0.00205,0.00205,0,0,1,0,0
ADAMTSL4,3225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49291914767253,152.0,0.03127347,0.0005887446183600722,107.0,5.552972986045467,1.3474083606915517,0.31303470494723634,0.08981928396176027,0.010885538478854422,0.06287671047742982,0,0,1,0,0
ADORA1,981.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.839320369899735,453.0,0.03682687,9.132376682258703e-06,7.0,5.113698227877935,1.781134353488916,0.7274456902890617,0.13041547720423732,0.006350000000000001,0.0066500000000000005,0,0,1,0,0
ANKRD34A,1491.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.3162490379938,454.70465601111886,0.018911263133733702,0.0,0.0,4.916439158801585,0.9941374319718556,0.31303470494723634,0.08981928396176027,0.0009,0.0,0,0,1,0,0
ARHGEF16,2130.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.922591951571558,483.0,0.02143424,1.5429093062171875e-06,5.0,7.151241295951481,1.430432040398112,0.8784648085911709,0.04275069323926551,-0.0852,0.0877,0,0,1,0,0
ARID1A,6858.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.89647151135277,182.0,0.02749164,0.00010715271733528008,52.0,11.366164867932035,0.6201603224770089,0.0452299217651256,0.018722055240728442,0.010885538478854422,0.06287671047742982,1,0,1,1,0
ASH1L,8895.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.902882929227122,247.0,0.03315029,1.4643366527007545e-07,5.0,9.983503917994476,0.8627951854548046,0.02765870097591845,0.005311998520253592,0.20535,0.20445,1,0,3,0,0
ASTN1,3885.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.676779337546588,940.0,-0.009137709,0.0,0.0,2.27955589126033,2.4266921093524463,0.31303470494723634,0.08981928396176027,0.2932,0.2932,0,0,1,0,0
ATP13A2,3543.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.37297938114095,221.0,0.05227663,0.000615106166323408,54.0,9.806862777591645,0.41225180840062337,0.06931815861921957,0.011664839209282673,-0.0027,0.0031,0,0,1,0,0
ATP2B4,3618.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.96919650301403,256.0,0.03531427,0.00021100210222652768,31.0,11.05368933896704,0.5356352254880387,0.031397253235641666,0.010843977125367705,0.20535,0.20445,0,0,1,0,0
AVPR1B,1275.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.52775341060455,400.0,0.0101593,0.0,1.0,0.2374479787320105,0.5720000238372934,0.08319029559920271,0.1014220256878096,0.20535,0.20445,0,0,1,0,0
BCAR3,2478.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.18421577734636,173.0,0.009017685,4.153404341696582e-06,11.0,7.7625481286132025,1.1794698096958451,0.059933890403292986,0.037442289373092665,-0.0274,0.0233,0,0,1,0,0
BCL9,4281.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3162490379938,454.70465601111886,0.018911263133733702,5.969847888224832e-06,6.0,9.844982047995238,0.5181282098565454,0.04330520735640085,0.008223733738161442,0.010885538478854422,0.06287671047742982,1,0,1,1,0
BLZF1,1203.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.127174191684386,491.0,0.007203025,0.00010979369079872948,50.0,8.517114591248763,0.6629909197915642,0.92446677220708,0.04297635016348261,-0.00235,0.0006500000000000001,0,0,1,0,0
C1QC,738.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.571106005111712,541.0,0.02857333,0.0,2.0,11.208395954671678,0.9659004100402322,0.4648369856683759,0.1487096243289936,0.0032,0.0023,0,0,1,0,0
C1orf167,4422.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.3162490379938,454.70465601111886,0.018911263133733702,0.0,0.0,6.904890118816987,0.6265482491880789,0.31303470494723634,0.08981928396176027,0.0032,0.0023,0,0,1,0,0
CACNA1S,5622.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.995374652823863,490.0,0.03061653,4.157670303749591e-06,4.0,0.4766347538568527,0.7933749103849405,0.7169358720559058,0.07125574589026923,0.20535,0.20445,0,0,1,0,0
CC2D1B,2577.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.63736745516421,448.0,0.02630047,4.960175565199586e-06,6.0,10.274107562866831,0.2558913159840347,0.31303470494723634,0.08981928396176027,0.0032,0.0023,0,0,1,0,0
