gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
ACBD3,1587.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.52879231723525,214.0,0.02416004,0.00014136214738912968,24.0,10.014388556416558,0.456913860379724,0.04679922327852655,0.019323431455098496,0.0775,0.07659999999999999,0,0,1,0,0
ADAMTSL4,3225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49291914767253,152.0,0.03127347,0.0005887446183600722,107.0,9.252437068383998,1.0743569259239414,0.1978464520344152,0.08679445109736103,0.02759397883743883,0.10035378711281312,0,0,1,0,0
AHDC1,4812.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.493271651503324,217.0,0.02515438,3.121233630167117e-05,10.0,9.653733855220699,0.7541436616723519,0.1978464520344152,0.08679445109736103,-0.05615,0.05755,0,0,1,0,0
APOA1BP,867.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.966844782842887,180.0,0.03700808,1.4979174865977625e-05,16.0,10.16785601649097,0.4735825545130034,0.08007628824846272,0.060759775754818675,0.03355,0.03175,0,0,1,0,0
APOA2,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.474906069300577,234.0,0.03749509,1.5201837499182342e-05,12.0,3.4981597957364063,3.7472185202881714,0.5772833594639545,0.18468776826934602,0.03355,0.03175,0,0,1,0,0
ASPM,10434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.75876649180669,614.0,-0.02455929,4.4378853334342045e-05,20.0,10.197601481221213,0.6444988922703793,0.037405653535990166,0.016273098483391958,0.1095,0.105,0,0,1,0,0
ATAD3B,1947.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.70933122936915,248.0,0.02688662,5.1949212601205046e-05,36.0,11.084957415829585,1.2089311187856269,0.1978464520344152,0.08679445109736103,0.02759397883743883,0.10035378711281312,0,0,1,0,0
ATAD3C,1236.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.718474345664546,187.0,0.02728094,2.2670096203953265e-07,3.0,5.950280164184518,0.996053989109713,0.5969597692968028,0.1919875128897904,0.02759397883743883,0.10035378711281312,0,0,1,0,0
ATP13A2,3543.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.37297938114095,221.0,0.05227663,0.000615106166323408,54.0,10.882927597447557,0.6403012228039242,0.08546855701237545,0.0405681551856489,0.0118,0.0124,1,0,2,0,0
AVPR1B,1275.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.52775341060455,400.0,0.0101593,0.0,1.0,0.8677352928195377,1.0436820676780885,0.09917274095677696,0.07356342888164884,0.14556666666666668,0.1928341313725924,0,0,1,0,0
BCL9,4281.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.28664915384277,453.1296660117878,0.01873318645945692,5.969847888224832e-06,6.0,10.515259721588473,0.5272911751442603,0.05312254435563348,0.012617215657936495,0.02759397883743883,0.10035378711281312,0,0,1,0,0
