gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
AADACL3,1224.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.16542247376876273,0.5684165599677791,0.28055264834143856,0.09117904030502166,-0.1652,0.1763,0,0,1,0,0
AADACL4,1224.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.04237614831222237,0.17752485003990562,0.28055264834143856,0.09117904030502166,0.0263,0.026304467301201902,0,0,2,0,0
ABCA4,6822.0,0.09090909090909093,0.0,0.0,0.8181818181818182,0.0,0.09090909090909093,0.0,0.0,18.96714321545631,370.0,-0.001895926,0.0,1.0,4.808361597504531,2.0804576369239207,0.9380985475204268,0.02243808726270297,-0.029989473684210517,0.07976650065057876,0,0,10,1,0
ABCB10,2217.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,17.964811264563924,277.0,0.02002447,2.798207415238828e-05,12.0,9.03039246819154,0.5776439680283406,0.03992567101276765,0.009700706473210505,0.2288285714285714,0.26735854318170743,1,0,4,1,0
ABCD3,1980.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.81072412480923,348.0,-0.007712561,0.00016227685446233104,50.0,10.94906736939324,0.8037112476326431,0.07787676047559282,0.04492702922835352,0.011775,0.19999875468362294,0,0,7,0,0
ABL2,3549.0,0.1111111111111111,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,18.32539769382264,301.0,0.0055768530000000005,0.00013322127512867526,35.0,10.194173773317079,0.5418509256347677,0.35888465619604537,0.31949679427682315,0.2257666666666667,0.2683995495939258,0,0,8,1,0
ACAP3,2505.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,20.73398019066006,273.0,0.02773012,2.23720235201786e-08,2.0,9.204385448541327,0.813597318614068,0.28055264834143856,0.09117904030502166,0.029971107318741218,0.12392571903890474,0,0,5,0,0
ACBD3,1587.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,19.52879231723525,214.0,0.02416004,0.00014136214738912968,24.0,11.01691286389878,0.5440228096907267,0.05489505347039093,0.027271572489113795,0.213,0.2645102502739733,0,0,3,1,0
ACOT11,1824.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,19.39207986405974,415.0,0.01756964,7.678666519753551e-08,4.0,5.276512274115664,1.2568111106350148,0.5923924240636256,0.1553905656172278,-0.026633333333333332,0.04497727821417783,0,0,1,2,0
ACOT7,1143.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,19.295783505122095,176.0,0.02580471,8.441698555815318e-05,25.0,9.084193947701003,0.8599872599668036,0.03833178865808918,0.02207146078406574,-0.031683333333333334,0.033573224284969845,0,0,1,2,0
ACTA1,1134.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,17.893006391031314,361.0,0.02946144,0.0010771302966454367,109.0,3.9377262764611736,2.3409391055386224,0.3238157239122956,0.19150189711628374,0.005050000000000001,0.00485,0,0,2,0,0
ACTL8,1101.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.931356766145438,416.0,0.02650356,0.0,1.0,2.637013038194932,2.7333157838330857,0.28055264834143856,0.09117904030502166,-0.0382,0.0373,2,0,2,1,0
ACTN2,2685.0,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.0,0.07692307692307693,0.0,0.0,18.70448694205385,682.0,-0.009612596,0.00024635454564851135,62.0,2.7282768852256734,2.31763794425793,0.4878994393478289,0.21409540820310355,0.2284066666666667,0.2744740120464757,0,0,12,1,0
ACTRT2,1134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23261907052082,634.0,0.01910433,0.0,0.0,0.007584239507992338,0.09713888829249538,0.28055264834143856,0.09117904030502166,0.029971107318741218,0.12392571903890474,0,1,2,0,0
ADAM15,2592.0,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,20.69431792441802,214.0,0.04370952,7.289549375923378e-05,31.0,12.048923185804243,0.8415383165180973,0.04135987030144074,0.03316481490622813,0.12041666666666664,0.12113828759819174,1,0,3,2,0
ADAM30,2373.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.57346672099513,560.0,0.009313993000000001,0.0,0.0,0.0614582595688153,0.21239007842945307,0.8149076565615825,0.1316650500314022,-0.06145,0.06564999999999999,0,0,1,0,0
ADAMTSL4,3225.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,20.49291914767253,152.0,0.03127347,0.0005887446183600722,107.0,7.407983858267728,1.199417686305052,0.28055264834143856,0.09117904030502166,0.19275,0.2306109331753375,0,0,1,1,0
ADAR,3681.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,20.87831140509346,403.0,0.03639176,2.7678090715688286e-05,39.0,13.513855558036322,0.5715860395267002,0.01627504314885298,0.005370157020045764,0.029971107318741218,0.12392571903890474,0,0,3,0,0
ADCK3,1944.0,0.6,0.1,0.0,0.2,0.0,0.1,0.0,0.0,18.64932846204924,481.0,0.004611321,0.0001259815539826139,13.0,6.956319914128448,0.5797516014661626,0.28055264834143856,0.09117904030502166,0.1918375,0.2040376493291128,0,0,9,1,0
ADCY10,4833.0,0.2222222222222222,0.1111111111111111,0.0,0.4444444444444444,0.0,0.2222222222222222,0.0,0.0,19.02813188580619,238.0,0.01328722,0.0,0.0,1.8430131389615363,1.2888484391597663,0.28055264834143856,0.09117904030502166,0.1844214285714285,0.22031601387413435,0,0,7,2,0
