gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
AADACL3,1224.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.16189255395249508,0.5745450400129277,0.260758116207125,0.0968637290440831,-0.03755,0.04035,0,0,1,0,0
ABCA4,6822.0,0.2222222222222222,0.0,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0,18.96714321545631,370.0,-0.001895926,0.0,1.0,4.6975881606364265,1.5066289647036086,0.9311470933603035,0.025556071345142053,-0.07313076923076921,0.1822184715141326,0,1,10,0,0
ABCB10,2217.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,17.964811264563924,277.0,0.02002447,2.798207415238828e-05,12.0,9.461768703043168,0.6674383776612355,0.039224989186168915,0.01590060802513741,-0.022725,0.027175022999070302,0,0,3,0,0
ABL2,3549.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.32539769382264,301.0,0.0055768530000000005,0.00013322127512867526,35.0,9.034466729356811,0.6099486965478428,0.38768985531120015,0.3329794496474077,0.4483,0.4478,0,0,2,0,0
ACADM,1278.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.22067023076923,578.0,-0.01324586,8.213403646317276e-05,49.0,10.989214463130693,1.0183770099628622,0.014904381882026804,0.0046847417961358795,0.007025000000000004,0.0213849684357962,0,0,2,0,0
ACAP3,2505.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.73398019066006,273.0,0.02773012,2.23720235201786e-08,2.0,9.51714355938142,0.7286463250389864,0.260758116207125,0.0968637290440831,0.02329316924478108,0.11207879838744314,0,0,1,0,0
ACBD6,849.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0508825108068,445.0,0.01167259,2.050000935228513e-06,3.0,9.1223807851994,0.654170469047786,0.05011642911111466,0.051892454349301134,0.1222,0.1235,0,1,2,0,0
ACTL8,1101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.931356766145438,416.0,0.02650356,0.0,1.0,2.291550246117698,2.908605912579992,0.260758116207125,0.0968637290440831,0.02329316924478108,0.11207879838744314,0,0,1,0,0
ACTN2,2685.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,18.70448694205385,682.0,-0.009612596,0.00024635454564851135,62.0,4.50216493261939,2.6933013803316763,0.4396113223231201,0.23459554331124474,0.158325,0.15633188054584388,0,0,5,0,0
ACTRT2,1134.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.23261907052082,634.0,0.01910433,0.0,0.0,0.00633941414517365,0.08410183244085045,0.260758116207125,0.0968637290440831,0.02329316924478108,0.11207879838744314,0,0,2,0,0
ADAM15,2592.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20.69431792441802,214.0,0.04370952,7.289549375923378e-05,31.0,10.968605951631801,0.8783005986980801,0.08022203766587556,0.11720242307028556,0.209,0.2079,0,0,2,0,0
ADAM30,2373.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,18.57346672099513,560.0,0.009313993000000001,0.0,0.0,0.18832583857639448,0.4193719278379751,0.8018331676444912,0.13462625862720068,-0.017475,0.028508014224073907,0,0,2,0,1
ADAMTS4,2514.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.474906069300577,234.0,0.03749509,1.26441181554528e-06,3.0,8.204783265239152,1.1602770744476658,0.7402149147470684,0.06519595402372633,0.2534,0.2519,0,0,1,0,0
ADAMTSL4,3225.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20.49291914767253,152.0,0.03127347,0.0005887446183600722,107.0,9.910047759220813,1.3325589507391893,0.260758116207125,0.0968637290440831,0.0179,0.0153,1,0,3,0,0
