Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
A3GALT2	NA	1023	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AADACL4	NA	1224	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACBD3	NA	1587	2	0	0	0	0	0	2	0	1.0	0.0	0.0	-0.0
ACOT11	NA	1824	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACTA1	NA	1134	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACTL8	NA	1101	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACTN2	NA	2685	5	0	0	0	0	0	5	0	1.0	0.0	0.0	1.0
ACTRT2	NA	1134	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM30	NA	2373	0	1	0	0	0	0	0	0	1.0	1.0	0.0	1.0
ADAR	NA	3681	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ADCK3	NA	1944	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADCY10	NA	4833	5	0	0	0	0	0	5	0	1.0	0.0	0.0	0.8277293767706428
ADORA1	NA	981	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGBL4	NA	1512	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGL	NA	4599	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AGRN	NA	6138	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AHCTF1	NA	6828	4	1	0	0	0	0	4	0	1.0	0.0	0.0	1.0
AHCYL1	NA	1593	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AHDC1	NA	4812	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AIM2	NA	1032	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AJAP1	NA	1236	3	1	0	0	0	0	3	0	1.0	0.0	0.0	0.75
AK4	NA	672	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AK5	NA	1689	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AKR1A1	NA	978	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AKT3	NA	1440	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ALDH9A1	NA	1557	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ALG6	NA	1524	0	1	0	0	0	0	0	0	1.0	0.0	1.0	1.0
ALPL	NA	1575	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AMPD1	NA	2343	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AMY2A	NA	1536	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AMY2B	NA	1536	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ANGEL2	NA	1635	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ANKRD13C	NA	1626	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AP4B1	NA	2220	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AQP10	NA	906	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARF1	NA	546	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP29	NA	3786	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP30	NA	3306	2	0	0	0	1	0	1	0	1.0	0.0	0.0	1.0
ARHGEF16	NA	2130	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF19	NA	2409	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARHGEF2	NA	2961	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARID1A	NA	6858	3	1	2	0	0	0	1	0	1.0	0.0	0.0	0.75
ARID4B	NA	3939	2	0	0	0	0	0	2	0	1.0	1.0	1.0	1.0
ARV1	NA	816	2	0	0	0	0	0	2	0	1.0	0.0	0.0	-0.0
ASB17	NA	888	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ASH1L	NA	8895	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ASPM	NA	10434	5	0	0	0	0	0	5	0	1.0	0.0	0.0	0.8277293767706428
ASTN1	NA	3885	5	0	0	0	0	0	5	0	1.0	0.0	0.0	1.0
ATAD3A	NA	1905	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATAD3B	NA	1947	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATAD3C	NA	1236	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ATF6	NA	2013	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP13A2	NA	3543	3	1	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ATP1A2	NA	3063	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ATP1B1	NA	912	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ATP2B4	NA	3618	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ATP5F1	NA	771	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP8B2	NA	3672	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AUNIP	NA	1074	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AURKAIP1	NA	600	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AXDND1	NA	3039	2	0	0	0	0	0	2	0	1.0	0.0	0.0	-0.0
B4GALT3	NA	1182	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BAI2	NA	4758	3	1	0	0	0	0	3	0	1.0	0.0	0.0	1.0
BARHL2	NA	1164	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
BCAN	NA	2736	2	2	0	0	0	0	2	0	1.0	0.0	0.0	1.0
BCL9	NA	4281	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
BEND5	NA	1266	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BMP8B	NA	1209	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BOLA1	NA	414	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
BRDT	NA	2856	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BSDC1	NA	1344	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
BSND	NA	963	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
C1QC	NA	738	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf105	NA	552	2	0	0	0	1	0	1	0	1.0	0.0	0.0	1.0
C1orf106	NA	2034	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
C1orf111	NA	786	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf115	NA	429	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
C1orf127	NA	2472	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf158	NA	585	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf198	NA	984	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf228	NA	1323	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
C1orf68	NA	753	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf74	NA	810	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf94	NA	1797	5	1	2	0	0	0	3	0	1.0	0.0	0.0	0.8710490642551527
C4BPA	NA	1794	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C4BPB	NA	759	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C8A	NA	1755	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
C8B	NA	1776	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CA14	NA	1014	1	0	1	0	0	0	0	0	1.0	0.0	1.0	1.0
CACNA1E	NA	6942	5	3	0	0	1	0	4	0	1.0	0.0	0.0	1.0
CACNA1S	NA	5622	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CACYBP	NA	687	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CADM3	NA	1299	0	2	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CAMSAP2	NA	4437	2	0	0	0	0	0	2	0	1.0	1.0	0.0	1.0
CAMTA1	NA	5022	3	0	1	0	0	0	2	0	1.0	1.0	0.0	0.75
CAPN2	NA	2103	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
