Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
ACOT11	NA	1824	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAMTS4	NA	2514	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AK2	NA	720	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ALDH9A1	NA	1557	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANKRD35	NA	3006	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AP4B1	NA	2220	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP29	NA	3786	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF2	NA	2961	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP1A2	NA	3063	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ATP1A4	NA	3090	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BCAN	NA	2736	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf109	NA	612	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
C1orf27	NA	1365	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf94	NA	1797	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
C4BPA	NA	1794	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CAPN2	NA	2103	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CAPZA1	NA	861	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CASZ1	NA	5280	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CCNL2	NA	1563	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CDCP2	NA	1350	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CDKN2C	NA	507	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CEP104	NA	2778	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CFHR5	NA	1710	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CHD5	NA	5865	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CHI3L1	NA	1152	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CLCA1	NA	2745	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CLCNKB	NA	2064	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CLSTN1	NA	2946	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
COL24A1	NA	5145	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
COL8A2	NA	2112	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
COPA	NA	3702	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CR1	NA	7470	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CROCC	NA	6054	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CTSS	NA	996	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DCLRE1B	NA	1599	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
DEDD	NA	957	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DENND4B	NA	4491	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DIEXF	NA	2271	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DISC1	NA	2661	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DISP1	NA	4575	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DNAH14	NA	13548	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DOCK7	NA	6390	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
EGLN1	NA	1281	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGO1	NA	2574	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
EPHB2	NA	2964	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
EXOC8	NA	2178	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
