gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
ADORA3	1044	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6711409395973155	0.938775919434475	374092.3	330.0	0.02739502	4.1604108441729285e-06	12.0
AGL	4599	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	289704.4	595.0	0.008860483	0.00015715112145144264	47.0
AGRN	6138	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.5296610169491526	0.8662701629890408	1971475.0	239.0	0.01491109	9.33204613905154e-06	10.0
ALPL	1575	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.026692291266282298	1.0	1.0	1.0	547986.3	297.0	0.0418635	0.0	2.0
ARHGEF2	2961	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.3448275862068966	0.7119692196525615	1880483.0	213.0	0.0321663	7.339305742058517e-05	42.0
ATAD3B	1947	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3306878306878307	0.6966205219303196	1714469.0	248.0	0.02688662	5.1949212601205046e-05	36.0
ATP13A2	3543	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.723589001447178	0.9576929995263952	678964.8	221.0	0.05227663	0.000615106166323408	54.0
BCAN	2736	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3000300030003	0.6612279625939403	1851672.0	180.0	0.03666845	0.00024367720298562509	13.0
CCDC181	1530	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.32562683165092804	0.690981192269191	286300.2	491.0	0.007203025	0.0	1.0
C1orf168	2187	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2844141069397042	0.6420147837949177	39469.81	514.0	-0.006068864	0.0	0.0
C1orf174	732	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	248975.3	412.0	0.02028935	2.4449924518719226e-05	9.0
CACHD1	3672	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.12671059300557527	0.38847561938169894	213590.9	581.0	-0.005703065	4.9878139769460196e-06	3.0
CACNA1S	5622	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.37523452157598497	0.7430409221830423	522608.8	490.0	0.03061653	4.157670303749591e-06	4.0
CAPN2	2103	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	528883.0	407.0	0.002372201	0.00011736701596571958	43.0
CASZ1	5280	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	809310.0	433.0	0.02734981	3.4907929278278277e-07	2.0
CCDC28B	603	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4480286738351255	0.8077500199458174	1460758.0	218.0	0.02930987	7.469741746968409e-07	2.0
CDC42BPA	5160	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2350176263219741	0.5753454199824531	290976.2	481.0	-0.0018180370000000002	4.250557866631304e-06	6.0
CELSR2	8772	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3401360544217687	0.7069420344729899	994134.5	287.0	0.03056305	4.51090529906267e-06	9.0
CHIA	1431	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5347593582887701	0.8694857919072168	398726.5	559.0	0.01538622	2.1184006446969995e-05	16.0
CLCA1	2745	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3441156228492774	0.7112104491218484	279518.3	762.0	-0.008132609	1.3014413845590321e-06	2.0
CNTN2	3123	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3322259136212625	0.69831896304345	655446.5	431.0	0.03723388	1.5079147748351169e-05	8.0
COL16A1	4815	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4116920543433512	0.7770603746480179	1126016.0	197.0	0.03662063	0.0	0.0
CORT	318	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	829921.3	392.0	0.03159138	0.0001056497707660543	5.0
CPSF3L	1821	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4914004914004914	0.8405384859432719	1744013.0	273.0	0.02773012	4.434888174664696e-05	22.0
CPT2	1977	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3849114703618168	0.7524025859308728	527316.8	391.0	0.02726794	0.0003240462883740459	20.0
CSMD2	10464	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.013316288484073721	0.07082623968033837	137660.1	907.0	0.01593501	0.0	1.0
CTH	1218	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	339262.7	379.0	-0.002628845	6.253613137628984e-05	35.0
DOCK7	6390	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.02737401111384851	0.12587011620795982	222018.1	474.0	0.004226009	0.00019221967093953083	51.0
DUSP27	3477	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	287664.3	611.0	-0.0005239137	0.0	0.0
AGO3	2583	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4128819157720892	0.7781146346535508	966499.1	282.0	0.02503699	0.00019289215154896788	67.0
ELAVL4	1152	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2795638803466592	0.6358748840583954	93598.54	824.0	-0.02034332	2.1640225706131242e-06	5.0
ENO1	1305	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.1719986240110079	1.0	0.39323633503735744	0.7602613002123407	800627.6	171.0	0.02795289	0.001992177810363795	277.0
EPHA10	3027	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.028537183950687744	0.13003102968052327	445059.7	375.0	0.02995554	9.483475830672716e-07	4.0
EPHA8	3018	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	407930.9	541.0	0.02493695	1.987113746059581e-06	10.0
EPHX1	1368	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6195786864931846	0.9161806504632944	925959.9	168.0	0.008335317	4.291310280697753e-05	22.0
F11R	900	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.7012622720897616	0.950121544173986	777836.0	441.0	0.01878483	2.1197854459701545e-05	11.0
FAM131C	843	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	876105.3	197.0	0.039948800000000007	2.530927724693774e-05	11.0
BRINP3	2301	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	6711.154	1261.0	-0.02587302	0.0	1.0
FHAD1	4239	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3944773175542407	0.7614176083010441	684500.0333328851	444.78072625698326	0.019726182407324176	0.0	0.0
FLAD1	1764	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.23696682464454974	0.5781599829497444	1612870.0	224.0	0.03538236	5.000756020741905e-05	28.0
FMN2	5169	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.7757951900698216	0.9727437734344844	55159.69	851.0	-0.02608024	2.064565251147152e-06	6.0
FUBP1	1935	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2218278615794144	0.5558681446711469	373295.8	256.0	0.001174656	0.00020170261793204744	93.0
