Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
ACBD3	NA	1587	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM15	NA	2592	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADORA1	NA	981	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ANKRD34A	NA	1491	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF16	NA	2130	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARID1A	NA	6858	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ASH1L	NA	8895	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ASTN1	NA	3885	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP13A2	NA	3543	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP2B4	NA	3618	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AVPR1B	NA	1275	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BCAR3	NA	2478	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BCL9	NA	4281	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
BLZF1	NA	1203	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1QC	NA	738	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf167	NA	4422	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CACNA1S	NA	5622	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CC2D1B	NA	2577	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CCT3	NA	1638	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CD84	NA	1038	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CEP350	NA	9354	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CHD5	NA	5865	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CLCNKA	NA	2064	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CLDN19	NA	675	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CLIC4	NA	762	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CLSTN1	NA	2946	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
CNR2	NA	1083	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
COL11A1	NA	5457	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CROCC	NA	6054	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CSMD2	NA	10464	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CYP4Z1	NA	1518	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DCAF6	NA	2856	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DCST1	NA	2121	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DHDDS	NA	1005	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DIEXF	NA	2271	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DMAP1	NA	1404	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DNAJC6	NA	2913	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
DNM3	NA	2592	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
DTL	NA	2193	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ECHDC2	NA	879	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
EDN2	NA	537	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGO4	NA	2586	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
EIF3I	NA	978	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
EPHA10	NA	3027	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
EXOSC10	NA	2658	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
FAM183A	NA	405	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
BRINP3	NA	2301	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
FCRL3	NA	2205	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
FLG	NA	12186	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
FMN2	NA	5169	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
FMOD	NA	1131	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
FPGT-TNNI3K	NA	2850	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
GADD45A	NA	498	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
GLRX2	NA	498	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
GPR153	NA	1830	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
GRIK3	NA	2760	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
GTF2B	NA	951	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
HAO2	NA	1056	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
HMCN1	NA	16908	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
HSD3B1	NA	1122	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
HSPG2	NA	13176	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
INTS7	NA	2889	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
IPP	NA	1755	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ITPKB	NA	2841	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
KANK4	NA	2988	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
KCNH1	NA	2970	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
KIAA0040	NA	300	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
KIF14	NA	4947	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
KISS1	NA	417	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
KLHL12	NA	1707	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
KMO	NA	1461	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
LCE3B	NA	288	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
LINGO4	NA	1782	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
LPHN2	NA	4212	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
LRRC52	NA	942	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
LRRN2	NA	2142	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
LUZP1	NA	3231	2	0	1	0	0	0	1	0	1.0	0.0	0.0	1.0
LY9	NA	1968	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
MACF1	NA	16293	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
MAEL	NA	1305	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
MAP1LC3C	NA	444	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
MROH9	NA	2586	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
MRPS15	NA	774	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
MSH4	NA	2811	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
MTOR	NA	7650	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
NBPF1	NA	3425	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
NBPF10	NA	10881	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
NECAP2	NA	822	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
NES	NA	4866	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
NGF	NA	726	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
NPHS2	NA	1152	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
NRAS	NA	570	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
NSUN4	NA	1155	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
OBSCN	NA	26772	0	4	0	0	0	0	0	0	1.0	0.0	0.0	1.0
OR10R2	NA	1008	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
OR14A16	NA	930	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
OR2T2	NA	975	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
OR2T4	NA	1047	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PABPC4	NA	1983	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PADI3	NA	1995	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PAX7	NA	1563	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PCNXL2	NA	6414	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PDC	NA	741	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
PDE4DIP	NA	7089	0	2	0	0	0	0	0	0	1.0	0.0	0.0	1.0
PGD	NA	1452	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
PHACTR4	NA	2139	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PHGDH	NA	1602	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
PIAS3	NA	1887	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PKLR	NA	1725	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PLK3	NA	1941	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
PLOD1	NA	2184	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
PLXNA2	NA	5685	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
PPP1R12B	NA	2949	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PPP1R8	NA	1056	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PPT1	NA	921	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PRAMEF2	NA	1425	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PRG4	NA	4215	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PSMA5	NA	726	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PTPN14	NA	3564	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
PTPRU	NA	4341	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
RAB3GAP2	NA	4182	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
RAD54L	NA	2244	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
RBM8A	NA	525	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
RFX5	NA	1851	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
RGL1	NA	2412	1	0	0	0	0	0	1	0	1.0	1.0	0.0	1.0
RHBG	NA	1377	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
RIIAD1	NA	279	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ROR1	NA	2814	2	0	0	0	0	0	2	0	1.0	0.0	0.0	-0.0
RPL11	NA	537	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
RYR2	NA	14904	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
SCNN1D	NA	2409	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SDF4	NA	1089	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SDHB	NA	843	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SDHC	NA	510	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SEMA4A	NA	2286	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SLC16A1	NA	1503	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SLC27A3	NA	2193	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SLC2A1	NA	1479	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
SLC2A7	NA	1539	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SLC30A10	NA	1458	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SLC39A1	NA	975	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
SLC45A1	NA	2349	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
SMG7	NA	3537	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
SPOCD1	NA	3651	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SPTA1	NA	7260	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SRRM1	NA	2715	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
STX6	NA	768	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SWT1	NA	2703	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SYTL1	NA	1689	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
SZT2	NA	10128	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
TARBP1	NA	4866	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
TAS1R1	NA	2526	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
TBCE	NA	1584	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
TMCC2	NA	2130	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
TMEM125	NA	660	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
TNN	NA	3900	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
TNR	NA	4077	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
TP53BP2	NA	3405	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
TPM3	NA	858	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
TPR	NA	7092	0	2	0	0	0	0	0	0	1.0	0.0	0.0	1.0
TRIM46	NA	2280	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
TXLNA	NA	1641	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
UBR4	NA	15552	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
URB2	NA	4575	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
USH2A	NA	15609	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
VHLL	NA	420	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
VPS13D	NA	13167	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
VWA5B1	NA	3648	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
WDR3	NA	2832	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
DCAF8	NA	2256	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
WDR77	NA	1029	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ZFYVE9	NA	4278	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ZMYM6	NA	3978	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ZNF648	NA	1707	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ZNF672	NA	1359	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ZP4	NA	1623	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
A1BG	NA	1488	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADCK4	NA	1635	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ALDH16A1	NA	2409	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AMH	NA	1683	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AP1M1	NA	1308	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP33	NA	3381	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP8B3	NA	3903	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AXL	NA	2685	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
B3GNT8	NA	1194	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
BRD4	NA	4089	1	0	0	0	0	0	1	0	1.0	1.0	0.0	1.0
C19orf33	NA	321	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CACNA1A	NA	7534	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CADM4	NA	1167	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CALM3	NA	450	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CAMSAP3	NA	3831	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CATSPERD	NA	2397	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CATSPERG	NA	3480	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CBLC	NA	1425	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CCDC114	NA	2013	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CEACAM21	NA	882	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CEACAM5	NA	2109	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CILP2	NA	3471	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CLIP3	NA	1644	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
COPE	NA	927	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
DNM2	NA	2613	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
