gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
AADACL3	1224	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.14206563432305724	1.0	1.0	1.0	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.31347962382445144	0.6771225444503929	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.11538461538461539	0.038461538461538464	0.07692307692307693	0.7692307692307693	0.0	1.0	0.0	0.0	0.9119976972117052	0.0	5.0	5.75	0.38211692777990064	1.0	0.44543429844098004	0.8056594749194733	512481.5	370.0	-0.001895926	0.0	1.0
ABCB10	2217	0.16666666666666666	0.0	0.0	0.8333333333333334	0.0	1.0	0.0	0.0	0.8710490642551529	0.0	2.5	2.5	1.0	1.0	0.6973500697350071	0.9487222748796574	255826.4	277.0	0.02002447	2.798207415238828e-05	12.0
ABCD3	1980	0.16666666666666666	0.0	0.16666666666666666	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.5	0.2997601918465228	1.0	0.3430531732418525	0.7100754098807738	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ABL2	3549	0.0	0.0	0.0	0.9	0.0	1.0	0.1	0.0	1.0	0.0	9.0	10.0	1.0	1.0	0.2091612633340305	0.5364253774616119	328468.0	301.0	0.0055768530000000005	0.00013322127512867526	35.0
ACADM	1278	0.0	0.0	0.25	0.5	0.0	1.0	0.25	0.0	0.75	0.0	2.0	4.0	0.19428793471925396	1.0	0.40899795501022496	0.7746605819741659	152733.9	578.0	-0.01324586	8.213403646317276e-05	49.0
ACAP3	2505	0.6	0.0	0.0	0.4	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.7457121551081283	0.9645157377326932	1744013.0	273.0	0.02773012	2.23720235201786e-08	2.0
ACOT11	1824	0.6666666666666666	0.0	0.0	0.3333333333333333	0.0	1.0	0.0	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	1.0	1.0	0.8130081300813008	0.9813123328327856	688013.7	415.0	0.01756964	7.678666519753551e-08	4.0
ACOT7	1143	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.059991601175835386	0.22878101307582635	643589.5	176.0	0.02580471	8.441698555815318e-05	25.0
ACP6	1287	0.6666666666666666	0.0	0.3333333333333333	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.3333333333333333	0.22123893805309736	1.0	1.0	1.0	630276.5395966436	456.0524039143384	0.018988777699308408	3.0041311957330638e-06	10.0
ACTA1	1134	0.3	0.2	0.0	0.5	0.0	1.0	0.0	0.0	0.939794000867204	0.0	1.25	1.75	0.3273322422258593	1.0	0.9615384615384616	0.9992506857243091	243405.2	361.0	0.02946144	0.0010771302966454367	109.0
