Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
ABCA4	NA	6822	5	1	0	0	0	0	5	0	1.0	0.0	0.0	1.0
ABCB10	NA	2217	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ABCD3	NA	1980	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ABL2	NA	3549	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACADM	NA	1278	2	1	0	0	1	0	1	0	1.0	0.0	0.0	1.0
ACBD3	NA	1587	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACOT7	NA	1143	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACP6	NA	1287	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTA1	NA	1134	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTL8	NA	1101	2	2	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ACTN2	NA	2685	2	0	1	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM15	NA	2592	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ADAM30	NA	2373	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAMTS4	NA	2514	5	0	1	0	0	0	4	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ADAR	NA	3681	5	0	0	0	0	0	5	0	1.0	0.0	0.0	1.0
ADCK3	NA	1944	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADCY10	NA	4833	3	0	0	0	0	0	3	0	1.0	0.0	1.0	1.0
ADIPOR1	NA	1128	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADORA1	NA	981	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ADORA3	NA	1044	1	0	0	0	0	0	1	0	1.0	0.0	1.0	1.0
ADPRHL2	NA	1092	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADSS	NA	1371	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGBL4	NA	1512	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGL	NA	4599	1	1	1	0	0	0	0	0	1.0	0.0	0.0	1.0
AGRN	NA	6138	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AGT	NA	1458	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AHCTF1	NA	6828	2	0	0	0	1	0	1	0	1.0	0.0	0.0	1.0
AHCYL1	NA	1593	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AIM2	NA	1032	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AJAP1	NA	1236	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
