Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
A3GALT2	NA	1023	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AADACL3	NA	1224	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AADACL4	NA	1224	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ABCA4	NA	6822	5	2	0	0	0	0	5	0	1.0	0.0	0.0	0.9999999999999999
ABCB10	NA	2217	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ABCD3	NA	1980	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ABL2	NA	3549	3	0	1	0	0	0	2	0	1.0	0.0	0.0	1.0
ACADM	NA	1278	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ACAP3	NA	2505	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACBD3	NA	1587	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ACOT11	NA	1824	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTL8	NA	1101	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ACTN2	NA	2685	1	1	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ACTRT2	NA	1134	3	0	0	0	0	0	3	0	1.0	0.0	0.0	0.579380164285695
ADAM15	NA	2592	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ADAM30	NA	2373	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ADAMTS4	NA	2514	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAR	NA	3681	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADCK3	NA	1944	3	2	0	0	0	0	3	0	1.0	0.0	0.0	0.8277293767706428
ADCY10	NA	4833	3	2	1	0	0	0	2	0	1.0	0.0	0.0	1.0
ADIPOR1	NA	1128	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADORA1	NA	981	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADPRHL2	NA	1092	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AGBL4	NA	1512	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
AGL	NA	4599	2	0	1	0	0	0	1	0	1.0	1.0	0.0	0.579380164285695
AGRN	NA	6138	3	2	0	0	0	0	3	0	1.0	0.0	0.0	1.0
AGT	NA	1458	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGTRAP	NA	480	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AHCTF1	NA	6828	4	1	0	0	0	0	4	0	1.0	0.0	0.0	1.0
AHCYL1	NA	1593	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AHDC1	NA	4812	2	2	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AIDA	NA	921	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
AIM1L	NA	4986	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AIM2	NA	1032	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AJAP1	NA	1236	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AK2	NA	720	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AK5	NA	1689	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AKNAD1	NA	2511	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AKR1A1	NA	978	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AKR7A3	NA	996	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ALDH9A1	NA	1557	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ALG6	NA	1524	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AMPD1	NA	2343	5	0	1	0	0	0	4	0	1.0	0.0	0.0	1.0
AMPD2	NA	2640	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AMY2A	NA	1536	4	0	0	0	0	0	4	0	1.0	0.0	0.0	1.0
