gene,score
A1CF,0.073144965
A2M,0.073639425
AACS,0.06731116599999999
AADACL2,0.065415957
AADAT,0.065434087
AANAT,0.065199887
AARS2,0.065593434
AASDHPPT,0.067919996
AASS,0.067198214
AATF,0.06817443200000001
ABAT,0.071510717
ABCA1,0.074554601
ABCA12,0.07756935
ABCA3,0.066915117
ABCA4,0.070258575
ABCB6,0.064331133
ABCB8,0.064744354
ABCC4,0.074085119
ABCC5,0.06709359299999999
ABCD3,0.071521762
ABCD4,0.064493242
ABCF1,0.066162691
ABHD1,0.06770007
ABHD11,0.065483258
ABHD12B,0.065277341
ABHD14B,0.064995123
ABHD15,0.06642486
ABHD16A,0.066722778
ABHD2,0.08006044799999999
ABHD4,0.06831396599999999
ABI1,0.07871474099999999
ABI3BP,0.076546172
ABL1,0.082844951
ABL2,0.07590021
ABLIM1,0.08442820300000001
ABRA,0.06460839
ABRACL,0.064571925
ABTB1,0.064156227
ACAD8,0.065665394
ACADL,0.065906717
ACADVL,0.064849775
ACAP2,0.06888970400000001
ACAT1,0.068689563
ACAT2,0.065084687
ACBD5,0.065527935
ACBD6,0.070256212
ACCS,0.064847928
ACE,0.068574179
ACER1,0.06556678099999999
ACER3,0.071676524
ACHE,0.06554696
ACIN1,0.06786624299999999
ACO2,0.067617867
ACOT1,0.06394813
ACOT11,0.070210922
ACOT2,0.06555549
ACOT8,0.066520698
ACOX2,0.069215898
ACP5,0.066130708
ACP6,0.070498101
ACPP,0.06720100700000001
ACR,0.064302153
ACRV1,0.064101105
ACSBG1,0.069874128
ACSF3,0.066130319
ACSL1,0.067943724
ACSL3,0.072391943
ACSL6,0.07231117
ACSM2A,0.066349462
ACSM4,0.06622393
ACSS1,0.069329149
ACSS2,0.067531238
ACSS3,0.085668596
ACTA2,0.073947129
ACTBL2,0.066720965
ACTG1,0.07104935799999999
ACTL9,0.072804203
ACTN1,0.07333083900000001
ACTR2,0.068950018
ACTR3,0.067648699
ACVR1,0.075137519
ACVR2A,0.094853285
ACY3,0.064264105
ADAD1,0.068294127
ADAM10,0.070076961
ADAM17,0.06637451400000001
ADAM22,0.096946498
ADAM8,0.065611988
ADAMTS1,0.07578953299999999
ADAMTS14,0.067616231
ADAMTS15,0.06506058
ADAMTS17,0.081451153
ADAMTS3,0.088229815
ADAMTS6,0.082959999
ADAMTS7,0.070377842
ADAMTSL3,0.091474217
ADARB2,0.101111304
ADAT1,0.064534331
ADCK2,0.06511852900000001
ADCY1,0.075919325
ADCY10,0.069891475
ADCY2,0.114172312
ADCY3,0.067587813
ADCY7,0.068120456
ADCYAP1,0.082138328
ADCYAP1R1,0.06843843299999999
ADD2,0.08391557
ADH1A,0.06629423799999999
ADI1,0.06723818299999999
ADIPOR1,0.065193508
ADIPOR2,0.067879206
ADK,0.087014545
ADNP,0.06644765700000001
ADNP2,0.064875315
ADORA1,0.068268748
ADORA2A,0.065204514
ADORA2B,0.068782046
ADPGK,0.06533074700000001
ADPRHL1,0.065974427
ADPRHL2,0.064241777
ADPRM,0.06557468
ADRA1A,0.070399272
ADRA1B,0.067290483
ADRA1D,0.066340915
ADRA2A,0.065451467
ADRB1,0.070802324
ADRBK1,0.078237747
ADRM1,0.067383561
AEN,0.065140567
AFAP1L1,0.066790216
AFF1,0.07111315
AFF3,0.10736815400000001
AFF4,0.06928865
AGAP2,0.069647689
AGER,0.10364524300000001
AGL,0.072563143
AGO3,0.068588417
AGPAT1,0.066447769
AGPAT2,0.066290276
AGPAT5,0.06790959
AGPAT9,0.067490627
AGR3,0.066641874
AGTPBP1,0.07403375599999999
AGTR1,0.06699484
AGTR2,0.065404031
AGXT,0.066648969
AHI1,0.07293289
AHSP,0.06534564799999999
AICDA,0.066084484
AIF1,0.070357483
AIF1L,0.064843793
AIFM2,0.067205532
AIFM3,0.065180436
AIG1,0.07291631400000001
AIM1,0.081159094
AIMP2,0.066485726
AIPL1,0.070561107
AJAP1,0.07494178900000001
AJUBA,0.06560001900000001
AK3,0.065121123
AK5,0.080692988
AKAP1,0.070327397
AKAP11,0.066077108
AKAP13,0.08016999400000001
AKAP4,0.066725014
AKAP5,0.06626929
AKAP6,0.09415841800000001
AKAP7,0.068873527
AKAP8,0.065369097
AKAP9,0.073405848
AKIRIN2,0.068124849
AKR1C1,0.068128849
AKR1C3,0.068135513
AKR7A3,0.065788811
AKT1,0.076675176
AKT2,0.073262
AKT3,0.08800124699999999
ALCAM,0.07379130099999999
ALDH1B1,0.068703899
ALDH1L2,0.066096369
ALDH2,0.069594522
ALDH3A2,0.065532729
ALDH3B2,0.064736757
ALDH9A1,0.064954675
ALG1,0.06597567900000001
ALG10,0.065705357
ALG11,0.066076464
ALG12,0.064630202
ALG1L,0.064080543
ALG2,0.064331746
ALG3,0.065218999
ALK,0.16147841599999999
ALKBH6,0.06509856
ALLC,0.06649337400000001
ALMS1,0.073055698
ALOXE3,0.065753072
ALPI,0.06843289
ALPK1,0.068103156
ALPK2,0.068939161
ALS2CL,0.065548417
ALS2CR11,0.068462217
ALX3,0.06437469900000001
AMBN,0.065016098
AMD1,0.066106487
AMDHD2,0.06919019900000001
AMELX,0.06451699799999999
AMER1,0.064925876
AMER2,0.064630973
AMIGO1,0.066518407
AMIGO3,0.065483579
AMN,0.064773727
AMOTL1,0.070364215
AMOTL2,0.06854729400000001
AMPD2,0.067346239
AMPH,0.091760625
AMT,0.064679556
AMY2A,0.067006888
AMZ2,0.06557886
ANAPC13,0.064167788
ANGEL1,0.066880937
ANGPT2,0.067411125
