gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
A3GALT2	1023	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2280501710376283	0.5651515680328727	647348.5615288652	445.34536469410733	0.01991921844704115	0.0	0.0
AADACL3	1224	0.47058823529411764	0.0	0.0	0.5294117647058824	0.17647058823529413	0.8333333333333334	0.0	0.0	0.9315714232285016	0.0	1.0	1.0	1.0	0.0043	1.0	0.02773130310201528	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.46153846153846156	0.0	0.02564102564102564	0.5128205128205128	0.0	1.0	0.0	0.0	0.9611896698426932	0.0	1.0526315789473684	1.105263157894737	0.7836990595611285	1.0	0.5045408678102926	0.8497005226578185	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.41379310344827586	0.034482758620689655	0.0	0.5517241379310345	0.0	1.0	0.0	0.0	0.9772451981895882	0.0	1.2972972972972974	1.3783783783783783	0.968054211035818	1.0	0.5500550055005501	0.8788432319886068	512481.5	370.0	-0.001895926	0.0	1.0
ABCB10	2217	0.125	0.0	0.125	0.75	0.0	1.0	0.0	0.0	1.0	0.0	3.0	3.5	0.3668378576669112	1.0	0.07757951900698215	0.2759078213305736	255826.4	277.0	0.02002447	2.798207415238828e-05	12.0
ABCD3	1980	0.1	0.4	0.0	0.5	0.0	1.0	0.0	0.0	0.698970004336019	0.0	2.5	4.5	0.08143985666585228	1.0	0.5934718100890207	0.903124963682092	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ABL2	3549	0.5	0.0	0.0	0.4166666666666667	0.0	1.0	0.08333333333333333	0.0	1.0	0.0	0.7142857142857143	0.8571428571428571	1.0	1.0	0.9505703422053232	0.9987577132276788	328468.0	301.0	0.0055768530000000005	0.00013322127512867526	35.0
ACADM	1278	0.16666666666666666	0.16666666666666666	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.5	0.5882352941176471	1.0	0.6635700066357001	0.9357139480055464	152733.9	578.0	-0.01324586	8.213403646317276e-05	49.0
ACAP3	2505	0.625	0.125	0.0	0.25	0.0	1.0	0.0	0.0	1.0	0.0	0.3333333333333333	0.5	0.4387889425186485	1.0	0.7513148009015778	0.9661386471923176	1744013.0	273.0	0.02773012	2.23720235201786e-08	2.0
ACBD3	1587	0.14285714285714285	0.14285714285714285	0.0	0.7142857142857143	0.0	1.0	0.0	0.0	1.0	0.0	2.5	3.0	0.34904013961605584	1.0	0.4361098996947231	0.7980204988555462	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
ACBD6	849	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	543108.1	445.0	0.01167259	2.050000935228513e-06	3.0
ACOT11	1824	0.41379310344827586	0.0	0.06896551724137931	0.5172413793103449	0.0	1.0	0.0	0.0	0.9858036667268664	0.0	1.1538461538461537	1.3076923076923077	0.6480881399870383	1.0	0.5227391531625719	0.8618257660523345	688013.7	415.0	0.01756964	7.678666519753551e-08	4.0
ACOT7	1143	0.3333333333333333	0.0	0.1111111111111111	0.5555555555555556	0.0	1.0	0.0	0.0	0.9298966940476158	0.0	1.25	1.5	0.4743833017077799	1.0	0.9643201542912246	0.999355765908766	643589.5	176.0	0.02580471	8.441698555815318e-05	25.0
ACP6	1287	0.3	0.0	0.0	0.7	0.0	1.0	0.0	0.0	0.8795880017344075	0.0	1.75	1.75	1.0	1.0	0.0572475383558507	0.22099671603064544	647348.5615288652	445.34536469410733	0.01991921844704115	3.0041311957330638e-06	10.0
ACTA1	1134	0.38461538461538464	0.0	0.0	0.6153846153846154	0.0	1.0	0.0	0.0	0.9168497986377478	0.0	1.3333333333333333	1.3333333333333333	1.0	1.0	0.024695016545661086	0.11609507124485913	243405.2	361.0	0.02946144	0.0010771302966454367	109.0
ACTL8	1101	0.23809523809523808	0.0	0.0	0.7619047619047619	0.0	1.0	0.0	0.0	0.9132684766868748	0.0	2.6666666666666665	2.6666666666666665	1.0	1.0	0.2979737783075089	0.6587454674031464	249962.3	416.0	0.02650356	0.0	1.0
ACTN2	2685	0.27906976744186046	0.023255813953488372	0.06976744186046512	0.627906976744186	0.0	1.0	0.0	0.0	0.922855837286588	0.0	2.076923076923077	2.3846153846153846	0.22737608003638016	1.0	0.12658227848101267	0.3882104758826552	427179.7	682.0	-0.009612596	0.00024635454564851135	62.0
ACTRT2	1134	0.53125	0.0	0.0	0.46875	0.0	1.0	0.0	0.0	0.975	0.0	0.8333333333333334	0.8333333333333334	1.0	1.0	0.7363770250368189	0.9617179890548634	308009.3	634.0	0.01910433	0.0	0.0
ADAM15	2592	0.5714285714285714	0.07142857142857142	0.0	0.35714285714285715	0.0	1.0	0.0	0.0	0.9624786378518296	0.0	0.5555555555555556	0.6666666666666666	0.7027406886858749	1.0	0.5714285714285714	0.8912090216773844	1696720.0	214.0	0.04370952	7.289549375923378e-05	31.0
ADAM30	2373	0.18181818181818182	0.0	0.0	0.8181818181818182	0.0	1.0	0.0	0.0	0.9592283955968044	0.0	3.6	3.6	1.0	1.0	0.2337540906965872	0.5735122979570394	390094.2	560.0	0.009313993000000001	0.0	0.0
ADAMTS4	2514	0.25	0.08333333333333333	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.25	0.5099439061703213	1.0	0.4488330341113106	0.808395117623446	728669.0	234.0	0.03749509	1.26441181554528e-06	3.0
ADAMTSL4	3225	0.43333333333333335	0.0	0.0	0.5666666666666667	0.0	1.0	0.0	0.0	0.9864136635272994	0.0	1.2142857142857142	1.2142857142857142	1.0	1.0	0.7225433526011561	0.9573539430603164	1475649.0	152.0	0.03127347	0.0005887446183600722	107.0
ADAR	3681	0.5263157894736842	0.05263157894736842	0.0	0.42105263157894735	0.0	1.0	0.0	0.0	0.975220114382459	0.0	0.7272727272727273	0.8181818181818182	0.7524454477050414	1.0	0.509683995922528	0.8531928446193533	1927515.0	403.0	0.03639176	2.7678090715688286e-05	39.0
ADCK3	1944	0.5555555555555556	0.0	0.0	0.4444444444444444	0.0	1.0	0.0	0.0	1.0	0.0	0.6666666666666666	0.6666666666666666	1.0	1.0	0.8038585209003215	0.9793665549171928	411155.6	481.0	0.004611321	0.0001259815539826139	13.0
ADCY10	4833	0.3559322033898305	0.06779661016949153	0.01694915254237288	0.559322033898305	0.05084745762711865	0.9714361137024152	0.0	0.0	0.9298005849015252	0.0	1.5	1.7272727272727273	0.5945303210463734	0.01936070937639155	0.7455615573754623	0.07561027323379498	534610.7	238.0	0.01328722	0.0	0.0
ADIPOR1	1128	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	0.9733541703813188	0.0	1.7142857142857142	1.7142857142857142	1.0	1.0	0.15174506828528073	0.4378684899111407	421205.7	389.0	0.03032769	3.8266747506163036e-05	11.0
ADORA1	981	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.9166666666666666	0.0	0.8	0.8	1.0	1.0	0.16886187098953054	0.4692121292940559	469028.9	453.0	0.03682687	9.132376682258703e-06	7.0
ADORA3	1044	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.9397940008672035	0.0	0.8333333333333334	0.8333333333333334	1.0	1.0	0.6002400960384153	0.906617973436165	374092.3	330.0	0.02739502	4.1604108441729285e-06	12.0
ADPRHL2	1092	0.3333333333333333	0.0	0.0	0.5555555555555556	0.0	1.0	0.1111111111111111	0.0	1.0	0.0	1.25	1.5	1.0	1.0	0.4737091425864519	0.8276465034894285	853739.5	282.0	0.02710964	4.582696043844408e-06	10.0
ADSS	1371	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3640334910811795	0.7318927583229475	710088.2	534.0	0.002229515	4.507730553260728e-05	40.0
AGBL4	1512	0.8333333333333334	0.0	0.0	0.16666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	0.16666666666666666	0.16666666666666666	1.0	1.0	0.9496676163342829	0.9987115224613852	16483.19	1041.0	-0.01843567	0.0	0.0
AGL	4599	0.26666666666666666	0.0	0.03333333333333333	0.7	0.0	1.0	0.0	0.0	0.9864136635272994	0.0	2.3333333333333335	2.4444444444444446	0.9398496240601504	1.0	0.3466204506065858	0.7138734488596405	289704.4	595.0	0.008860483	0.00015715112145144264	47.0
AGMAT	1059	0.5	0.07142857142857142	0.0	0.42857142857142855	0.0	1.0	0.0	0.0	0.9624786378518296	0.0	0.75	0.875	0.5440696409140371	1.0	0.5458515283842795	0.8763145558143771	656850.0	162.0	0.03066174	1.2819357174410273e-05	14.0
AGRN	6138	0.47058823529411764	0.058823529411764705	0.029411764705882353	0.4117647058823529	0.0	1.0	0.029411764705882353	0.0	0.9537502041805124	0.0	0.8235294117647058	1.0588235294117647	0.3923107100823853	1.0	0.2226179875333927	0.5570565531781382	1971475.0	239.0	0.01491109	9.33204613905154e-06	10.0
AGT	1458	0.65	0.0	0.05	0.3	0.0	1.0	0.0	0.0	1.0	0.0	0.42857142857142855	0.5	0.639386189258312	1.0	0.9319664492078286	0.9976313733910172	422372.1	568.0	0.00627829	5.497217174772501e-05	11.0
AGTRAP	480	0.4	0.2	0.0	0.4	0.0	1.0	0.0	0.0	1.0	0.0	0.6666666666666666	1.0	0.4042037186742118	1.0	0.7987220447284346	0.9782286522986476	606580.4	187.0	0.03595755	0.0007340343141945262	72.0
