Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
AADACL3	NA	1224	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ABCA4	NA	6822	7	2	0	0	1	0	6	0	1.0	0.0	0.0	0.9298966940476158
ABCB10	NA	2217	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ABL2	NA	3549	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACADM	NA	1278	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ACAP3	NA	2505	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACBD6	NA	849	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTL8	NA	1101	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACTN2	NA	2685	3	2	0	0	0	0	3	0	1.0	0.0	0.0	0.8277293767706428
ACTRT2	NA	1134	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM15	NA	2592	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM30	NA	2373	1	1	0	0	0	0	1	0	1.0	1.0	0.0	1.0
ADAMTS4	NA	2514	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAR	NA	3681	2	1	0	0	0	0	2	0	1.0	0.0	0.0	0.579380164285695
ADCK3	NA	1944	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADCY10	NA	4833	2	0	0	0	0	0	2	0	1.0	0.0	1.0	0.579380164285695
ADIPOR1	NA	1128	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADORA1	NA	981	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADORA3	NA	1044	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGBL4	NA	1512	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGL	NA	4599	3	0	0	0	1	0	2	0	1.0	0.0	0.0	1.0
AGMAT	NA	1059	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AGRN	NA	6138	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AHCTF1	NA	6828	3	2	1	0	0	0	2	0	1.0	1.0	0.0	0.8710490642551527
AHDC1	NA	4812	0	2	0	0	0	0	0	0	1.0	1.0	0.0	1.0
AIM1L	NA	4986	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AIM2	NA	1032	0	2	0	0	0	0	0	0	1.0	1.0	0.0	1.0
AJAP1	NA	1236	4	0	0	0	0	0	4	0	1.0	0.0	0.0	0.75
AKIRIN1	NA	579	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AKNAD1	NA	2511	2	0	0	0	0	0	2	0	1.0	0.0	0.0	-0.0
AKR7A3	NA	996	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ALPL	NA	1575	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ALX3	NA	1032	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AMPD1	NA	2343	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AMPD2	NA	2640	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANGEL2	NA	1635	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANGPTL1	NA	1476	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANGPTL7	NA	1041	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANKRD35	NA	3006	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ANKRD45	NA	801	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
ANXA9	NA	1038	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
APCS	NA	672	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
APOA1BP	NA	867	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
APOBEC4	NA	1104	2	0	0	0	0	0	2	0	1.0	0.0	0.0	-0.0
AQP10	NA	906	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARF1	NA	546	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP29	NA	3786	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP30	NA	3306	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF10L	NA	3840	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ARHGEF11	NA	4689	4	3	1	0	0	0	3	0	1.0	0.0	0.0	0.8982265179691366
ARHGEF16	NA	2130	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARHGEF19	NA	2409	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF2	NA	2961	4	0	0	0	0	0	4	0	1.0	0.0	0.0	0.75
ARID1A	NA	6858	7	2	1	0	0	0	6	0	1.0	7.0	0.0	0.59375
ARPC5	NA	465	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARTN	NA	687	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ASAP3	NA	2712	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ASB17	NA	888	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ASH1L	NA	8895	4	1	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ASPM	NA	10434	3	1	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ASTN1	NA	3885	9	3	1	0	0	0	8	0	1.0	0.0	0.0	0.953509509058145
ATAD3A	NA	1905	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ATAD3B	NA	1947	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATF6	NA	2013	1	1	0	0	0	0	1	0	1.0	1.0	0.0	1.0
ATP13A2	NA	3543	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP1A1	NA	3072	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ATP1A2	NA	3063	4	1	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ATP1A4	NA	3090	3	1	0	0	1	0	2	0	1.0	0.0	0.0	1.0
