gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
ADORA3,1044.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.513038601931182,330.0,0.02739502,4.1604108441729285e-06,12.0,5.235181326513759,1.3168562785670517,0.6364908244709686,0.2768276070413934,-0.22845,0.23065,0,0,1,0,0
AGL,4599.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.144227050590228,595.0,0.008860483,0.00015715112145144264,47.0,10.28929652781599,0.5538033474676284,0.03326906646935395,0.008961383156071534,0.04223136931695755,0.09924443869505677,0,0,1,0,0
AGRN,6138.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20.910844717055358,239.0,0.01491109,9.33204613905154e-06,10.0,11.997925694453652,0.6021378450933715,0.26001694324527663,0.10691834816447776,0.04223136931695755,0.09924443869505677,0,0,2,0,0
ALPL,1575.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.063782932514343,297.0,0.0418635,0.0,2.0,7.225142824142019,1.163449949733267,0.1556588924320708,0.19045115273355048,0.1088,0.1121,0,0,1,0,0
ARHGEF2,2961.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.842672600659128,213.0,0.0321663,7.339305742058517e-05,42.0,9.5948747008138,0.6119497497688782,0.10738382364451207,0.09231340611442444,-0.17422500000000002,0.1810711652224064,0,0,2,0,0
ATAD3B,1947.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.70933122936915,248.0,0.02688662,5.1949212601205046e-05,36.0,7.659946587516469,0.6719816340134263,0.26001694324527663,0.10691834816447776,0.04223136931695755,0.09924443869505677,0,0,1,0,0
ATP13A2,3543.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.37297938114095,221.0,0.05227663,0.000615106166323408,54.0,9.444922513878321,0.4507803878550419,0.06965199328851303,0.008167842149752759,-0.24535,0.24505,0,0,1,0,0
BCAN,2736.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.82039791471944,180.0,0.03666845,0.00024367720298562509,13.0,3.804406347831515,3.2179589902931114,0.13822383846370662,0.1601051017445757,-0.15610000000000002,0.15830000000000002,0,0,1,0,0
CCDC181,1530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.127174191684386,491.0,0.007203025,0.0,1.0,6.9271238014277685,0.5855109133383627,0.26001694324527663,0.10691834816447776,-0.13455,0.13124999999999998,0,0,1,0,0
C1orf168,2187.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.26849850534222,514.0,-0.006068864,0.0,0.0,8.632559970008549,0.5634303044011812,0.26001694324527663,0.10691834816447776,0.1173,0.1206,0,0,1,0,0
