gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
AADACL3,1224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.8669049338811958,1.5773082831117566,0.2692621625926374,0.08631276158740102,0.019547997547440087,0.09400390957869588,0,0,1,0,0
AADACL4,1224.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.040846716425531934,0.16292811149890307,0.2692621625926374,0.08631276158740102,0.02992,0.09150784447248224,0,0,4,0,0
ABCA4,6822.0,0.4166666666666667,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,18.96714321545631,370.0,-0.001895926,0.0,1.0,4.29142032411279,2.2475207082002853,0.8645995879583985,0.13090699131168876,-0.02260833333333333,0.10845898194197144,1,0,13,0,0
ABCD3,1980.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.81072412480923,348.0,-0.007712561,0.00016227685446233104,50.0,9.629080607432963,0.5160669300872597,0.0600007236765658,0.02301316174319835,0.0549,0.0542,0,0,1,0,0
ABL2,3549.0,0.4,0.0,0.0,0.4,0.0,0.2,0.0,0.0,18.32539769382264,301.0,0.0055768530000000005,0.00013322127512867526,35.0,10.126695039146922,0.6706651026608571,0.1627295323864911,0.1326272022479419,0.09541666666666666,0.1601835761105225,1,0,7,1,0
ACADM,1278.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.22067023076923,578.0,-0.01324586,8.213403646317276e-05,49.0,9.302207311918883,0.6711716892767717,0.01633675247307154,0.03104713185851592,-0.04142,0.14848832142629936,0,0,2,0,0
ACAP3,2505.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.73398019066006,273.0,0.02773012,2.23720235201786e-08,2.0,10.093813553360645,0.6804632547336007,0.2692621625926374,0.08631276158740102,0.019547997547440087,0.09400390957869588,0,0,2,0,0
ACBD3,1587.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.52879231723525,214.0,0.02416004,0.00014136214738912968,24.0,10.680531534445366,0.4870314549574471,0.054875011722690936,0.0254767158603524,0.0283,0.09346387537439264,0,0,6,0,0
ACBD6,849.0,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.0,19.0508825108068,445.0,0.01167259,2.050000935228513e-06,3.0,8.985629494918038,0.4897417129270471,0.04728806682596017,0.022031944203505724,0.12928,0.18368376520531146,0,0,5,0,0
ACOT11,1824.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.39207986405974,415.0,0.01756964,7.678666519753551e-08,4.0,8.680870825426485,1.154694607070617,0.5332739328652899,0.15725930360164014,-0.0232,0.0238,0,0,1,0,0
ACP6,1287.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.257235210564033,459.54740134744947,0.018664237886221544,3.0041311957330638e-06,10.0,6.450063102063727,1.117677074630513,0.052980016421862085,0.026408047357779543,-0.011225,0.02426008810783671,0,0,2,0,0
ACTA1,1134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.893006391031314,361.0,0.02946144,0.0010771302966454367,109.0,6.15728873678726,4.4224216068274735,0.4211812628336897,0.13973522653167594,0.0154,0.0142,0,0,1,0,0
ACTL8,1101.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,17.931356766145438,416.0,0.02650356,0.0,1.0,2.0726838729618056,2.1134792248527807,0.2692621625926374,0.08631276158740102,-0.040633333333333334,0.15789085541038222,0,0,3,0,0
ACTN2,2685.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,18.70448694205385,682.0,-0.009612596,0.00024635454564851135,62.0,5.006639966623544,4.143777141946858,0.4702734352721084,0.1742314016575473,0.0195,0.0189,0,1,7,0,0
ACTRT2,1134.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.23261907052082,634.0,0.01910433,0.0,0.0,0.01444052863868486,0.09321441447922747,0.2692621625926374,0.08631276158740102,0.019547997547440087,0.09400390957869588,0,0,6,0,0
ADAM15,2592.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,20.69431792441802,214.0,0.04370952,7.289549375923378e-05,31.0,11.943772768525035,0.5649086215244797,0.046944150160924826,0.03901029230973961,0.0687,0.09629928348643099,0,0,5,0,0
ADAM30,2373.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.57346672099513,560.0,0.009313993000000001,0.0,0.0,0.10394287336902984,0.3954969366299463,0.6622779694372355,0.20540841967368145,0.00835,0.005549999999999999,0,0,2,0,0
ADAMTS4,2514.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,19.474906069300577,234.0,0.03749509,1.26441181554528e-06,3.0,8.697333841530236,1.3286656784807909,0.613723711282181,0.1505914551821688,-0.00885,0.026267708312679282,0,0,7,0,0
ADAMTSL4,3225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.49291914767253,152.0,0.03127347,0.0005887446183600722,107.0,9.348264054238431,1.4368435121276044,0.2692621625926374,0.08631276158740102,-0.0259,0.0273,0,0,1,0,0
ADAR,3681.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,20.87831140509346,403.0,0.03639176,2.7678090715688286e-05,39.0,13.015039447353807,0.5521036876549201,0.020408295478245603,0.005504550224717024,0.0093,0.01382479656269849,0,0,3,0,0
ADCK3,1944.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,18.64932846204924,481.0,0.004611321,0.0001259815539826139,13.0,6.7693475230963385,0.6065177218902306,0.2692621625926374,0.08631276158740102,0.054328571428571414,0.10661584865147146,0,0,2,2,0
ADCY10,4833.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,19.02813188580619,238.0,0.01328722,0.0,0.0,1.5391162083202377,1.6144485350083038,0.2692621625926374,0.08631276158740102,-0.017675000000000003,0.06520219992454243,0,0,5,0,0
ADIPOR1,1128.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.68416885947066,389.0,0.03032769,3.8266747506163036e-05,11.0,11.836650066494489,0.4867039349453716,0.0243941853694208,0.007924729505711459,0.08214999999999999,0.12524656681921464,0,0,2,0,0
ADORA1,981.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.839320369899735,453.0,0.03682687,9.132376682258703e-06,7.0,4.638352768885008,1.3575678431396232,0.609574309077543,0.17661589327743382,0.0217,0.023406943414294827,0,0,2,0,0
ADORA3,1044.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.513038601931182,330.0,0.02739502,4.1604108441729285e-06,12.0,5.60249738183816,1.259496638218336,0.6073062329920552,0.2059567986313544,0.03205,0.03979550854053759,0,0,4,0,0
ADSS,1371.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.437640738933734,534.0,0.002229515,4.507730553260728e-05,40.0,10.50572782351718,0.50139782772575,0.2692621625926374,0.08631276158740102,0.00558,0.0071862090144943595,0,0,3,0,0
AGL,4599.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,18.144227050590228,595.0,0.008860483,0.00015715112145144264,47.0,9.568839588296033,0.7020075954596458,0.03339650311787161,0.018918714076736776,-0.0072,0.0096,1,1,6,0,0
AGMAT,1059.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.32520662133118,162.0,0.03066174,1.2819357174410273e-05,14.0,5.595423627726014,1.0789894442384242,0.20034053218323009,0.1080919583018739,-0.01335,0.01115,0,0,1,0,0
AGRN,6138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.910844717055358,239.0,0.01491109,9.33204613905154e-06,10.0,13.391596131867257,0.8831400360321465,0.2692621625926374,0.08631276158740102,0.019547997547440087,0.09400390957869588,0,0,4,0,0
AGT,1458.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,18.688158430031887,568.0,0.00627829,5.497217174772501e-05,11.0,5.028881801583918,2.0311084773356125,0.6884032915120224,0.1435479847522733,0.0010999999999999998,0.0015121728296285009,0,0,6,0,0
AHCTF1,6828.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,18.688871791014453,405.0,0.004111425,4.1223181878505266e-05,15.0,10.273694036888376,0.5493142137648956,0.8271113597253997,0.11014965891666932,0.08690555555555554,0.19861291071445766,0,0,9,0,0
AHDC1,4812.0,0.09090909090909093,0.09090909090909093,0.0,0.7272727272727273,0.0,0.09090909090909093,0.0,0.0,19.493271651503324,217.0,0.02515438,3.121233630167117e-05,10.0,10.312387587850779,0.6791251165605671,0.2692621625926374,0.08631276158740102,-0.028888235294117645,0.11856726997215765,0,0,10,1,0
AIDA,921.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.761543441371593,392.0,0.001234602,2.220389713053781e-05,12.0,9.784675849124724,0.4258011378099187,0.2692621625926374,0.08631276158740102,0.11673333333333336,0.16310598463030784,0,0,2,0,0
AIM1L,4986.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.961695556542946,217.0,0.02159451,0.0,0.0,9.301923807961414,1.3112017832229184,0.2692621625926374,0.08631276158740102,0.019547997547440087,0.09400390957869588,0,0,1,0,0
AJAP1,1236.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,12.475821063923526,921.0,0.003660757,1.965776407963247e-06,3.0,5.6727187966824975,2.6234538001800862,0.32976685535139977,0.20611942452643625,0.01935,0.04411238488225274,0,1,5,0,0
AK2,720.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.623168837641032,233.0,0.02683501,5.0947884545253496e-05,31.0,11.357216104174142,0.5283536155332963,0.03146279388878778,0.01857129643505434,0.019547997547440087,0.09400390957869588,0,0,2,0,0
AK4,672.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.095122947342613,351.0,-0.008810368,2.965267905801107e-05,9.0,6.7693475230963385,0.6065177218902306,0.2692621625926374,0.08631276158740102,-0.02585,0.02725,0,0,1,0,0
AK5,1689.0,0.0,0.07142857142857142,0.0,0.8571428571428571,0.0,0.07142857142857142,0.0,0.0,18.886733449881863,536.0,-0.008071406,1.8151959906919063e-06,8.0,3.6943829569505824,1.7441085720148453,0.2460217649835847,0.17261378786303838,0.013200000000000005,0.0699683414123845,0,0,14,1,0
AKR1A1,978.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.736944405748027,161.0,0.02696786,1.2433906867666788e-05,28.0,11.070539118854851,0.5335925713290701,0.0630558709231744,0.014727013653854381,0.019547997547440087,0.09400390957869588,0,0,1,0,0
AKR7A2,1080.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,19.62838715446363,448.0,0.04036309,5.764122722169605e-06,9.0,9.682846126955091,0.4739290486364264,0.2692621625926374,0.08631276158740102,-0.19275,0.19415,0,0,2,0,0
AKR7A3,996.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.62838715446363,448.0,0.04036309,0.00010913691657402648,10.0,3.8004065132817835,1.5553818973992186,0.3074560900648833,0.1458458712594667,-0.0113,0.0174,0,0,1,0,0
AKT3,1440.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.672665660627644,954.0,-0.003878738,1.1796062775878878e-05,12.0,7.956241679667382,1.1888136629603527,0.5461857415746421,0.30853112405585004,0.17555714285714288,0.2610689939304105,0,0,4,0,0
ALDH4A1,1692.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.293563700334712,453.0,0.02718929,1.57249907427897e-05,23.0,10.11414465915252,0.6975166691145153,0.04469886708181791,0.01397746398124242,0.019547997547440087,0.09400390957869588,0,0,5,0,0
ALDH9A1,1557.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.295947359341085,408.0,-0.0003845727,4.424209178282366e-06,14.0,10.679915993943382,0.6300130767258831,0.04796998133839631,0.019305349124248958,0.03572499999999998,0.057151306852949564,0,0,2,0,0
ALPL,1575.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.063782932514343,297.0,0.0418635,0.0,2.0,7.643959115771179,1.0981781038701088,0.41103707305016096,0.15773585630662135,0.003985714285714286,0.043934738243100936,0,1,5,0,0
AMIGO1,1482.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20.01039697762005,272.0,0.03738143,1.7706509134063115e-05,13.0,4.872513924861655,1.4149471829895368,0.2692621625926374,0.08631276158740102,0.03695,0.03525,0,0,2,0,0
AMPD1,2343.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,19.19616793107981,472.0,0.01059793,1.5588598857844034e-06,5.0,2.8817624713803367,2.42200715627485,0.6400127902776647,0.1624268269320745,-0.0024799999999999987,0.11136365475324524,0,0,4,2,0
AMY2A,1536.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,14.731641479761866,1015.0,-0.01987349,5.448971747492104e-07,4.0,0.6611650379701409,0.9552587670026966,0.7128880784856803,0.1680130913964162,-0.01927500000000001,0.11848787648953794,0,1,6,0,0
AMY2B,1536.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.93280760069162,974.0,-0.01881541,0.0,1.0,4.549280884439875,1.6862302748473228,0.9342513514929404,0.03313630031365793,-0.021725,0.024650494416948315,0,0,6,0,0
