gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
AADACL3	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.27495188342040144	0.6299585279089503	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.09090909090909091	0.0	0.0	0.8181818181818182	0.0	1.0	0.09090909090909091	0.0	1.0000000000000002	0.0	4.5	5.0	1.0	1.0	0.3091190108191654	0.6720336717010399	512481.5	370.0	-0.001895926	0.0	1.0
ABCB10	2217	0.0	0.0	0.0	0.75	0.0	1.0	0.25	0.0	0.75	0.0	3.0	4.0	1.0	1.0	0.2755580049600441	0.630740459694388	255826.4	277.0	0.02002447	2.798207415238828e-05	12.0
ABCD3	1980	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.7964530359382728	0.0	7.0	7.0	1.0	1.0	0.08939746111210442	0.3052622024315569	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ABL2	3549	0.1111111111111111	0.0	0.0	0.7777777777777778	0.0	1.0	0.1111111111111111	0.0	1.0	0.0	3.5	4.0	1.0	1.0	0.07181844297615628	0.2609604976981609	328468.0	301.0	0.0055768530000000005	0.00013322127512867526	35.0
ACAP3	2505	0.2	0.0	0.0	0.8	0.0	1.0	0.0	0.0	0.8277293767706428	0.0	2.0	2.0	1.0	1.0	0.7633587786259542	0.9694863642847787	1744013.0	273.0	0.02773012	2.23720235201786e-08	2.0
ACBD3	1587	0.0	0.0	0.0	0.75	0.0	1.0	0.25	0.0	1.0	0.0	3.0	4.0	1.0	1.0	0.3435245620061834	0.7105794107741279	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
ACOT11	1824	0.0	0.0	0.0	0.3333333333333333	0.0	1.0	0.6666666666666666	0.0	0.5793801642856949	0.0	1.0	3.0	1.0	1.0	0.5178663904712584	0.8586421561089475	688013.7	415.0	0.01756964	7.678666519753551e-08	4.0
ACOT7	1143	0.0	0.0	0.0	0.3333333333333333	0.0	1.0	0.6666666666666666	0.0	0.5793801642856949	0.0	1.0	3.0	1.0	1.0	0.3006614552014432	0.6619874867019653	643589.5	176.0	0.02580471	8.441698555815318e-05	25.0
ACTA1	1134	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.6265664160401002	0.9194865282127926	243405.2	361.0	0.02946144	0.0010771302966454367	109.0
ACTL8	1101	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.29559562518474725	0.6558566035467255	249962.3	416.0	0.02650356	0.0	1.0
ACTN2	2685	0.38461538461538464	0.07692307692307693	0.07692307692307693	0.38461538461538464	0.0	1.0	0.07692307692307693	0.0	0.9011575366850628	0.0	0.8333333333333334	1.3333333333333333	0.2295157218269452	1.0	0.968054211035818	0.9994842111689268	427179.7	682.0	-0.009612596	0.00024635454564851135	62.0
ACTRT2	1134	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	308009.3	634.0	0.01910433	0.0	0.0
ADAM15	2592	0.25	0.0	0.0	0.25	0.0	1.0	0.5	0.0	0.75	0.0	0.5	1.5	1.0	1.0	0.5770340450086555	0.8943185289864217	1696720.0	214.0	0.04370952	7.289549375923378e-05	31.0
ADAM30	2373	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.07540909433677702	0.2703285873384708	390094.2	560.0	0.009313993000000001	0.0	0.0
ADAMTSL4	3225	0.0	0.0	0.0	0.5	0.0	1.0	0.5	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.2239140170174653	0.5589998104384162	1475649.0	152.0	0.03127347	0.0005887446183600722	107.0
ADAR	3681	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6218905472636815	0.9172830663910291	1927515.0	403.0	0.03639176	2.7678090715688286e-05	39.0
ADCK3	1944	0.6	0.1	0.0	0.2	0.0	1.0	0.1	0.0	0.939794000867204	0.0	0.2857142857142857	0.5714285714285714	0.3404834865509023	1.0	0.992063492063492	0.9999684222710088	411155.6	481.0	0.004611321	0.0001259815539826139	13.0
ADCY10	4833	0.2222222222222222	0.1111111111111111	0.0	0.4444444444444444	0.0	1.0	0.2222222222222222	0.0	0.8333333333333335	0.0	1.3333333333333333	2.3333333333333335	0.5076142131979695	1.0	0.8756567425569177	0.991927417893011	534610.7	238.0	0.01328722	0.0	0.0
ADIPOR1	1128	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.04465880671668453	0.1834898067262036	421205.7	389.0	0.03032769	3.8266747506163036e-05	11.0
ADORA1	981	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.08434547908232119	0.2929178532855711	469028.9	453.0	0.03682687	9.132376682258703e-06	7.0
ADPRHL2	1092	0.5	0.0	0.0	0.0	0.0	1.0	0.5	0.0	1.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	853739.5	282.0	0.02710964	4.582696043844408e-06	10.0
ADSS	1371	0.0	0.25	0.0	0.75	0.0	1.0	0.0	0.0	1.0	0.0	3.0	4.0	0.11745360582569885	1.0	0.8865248226950354	0.9933033271949177	710088.2	534.0	0.002229515	4.507730553260728e-05	40.0
AGBL4	1512	0.2	0.0	0.0	0.6	0.0	1.0	0.0	0.2	1.0	0.0	1.5	2.0	1.0	1.0	0.24142926122646066	0.5845434000418621	16483.19	1041.0	-0.01843567	0.0	0.0
AGL	4599	0.25	0.0	0.0	0.5	0.0	1.0	0.25	0.0	1.0	0.0	1.0	1.5	1.0	1.0	0.7369196757553427	0.9618838473491024	289704.4	595.0	0.008860483	0.00015715112145144264	47.0
AGMAT	1059	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	656850.0	162.0	0.03066174	1.2819357174410273e-05	14.0
AGRN	6138	0.0	0.0	0.0	0.2	0.0	1.0	0.8	0.0	0.31091750708257115	0.0	1.0	5.0	1.0	1.0	0.053231129564569366	0.2093639897568574	1971475.0	239.0	0.01491109	9.33204613905154e-06	10.0
AHCTF1	6828	0.0	0.15384615384615385	0.0	0.5384615384615384	0.0	1.0	0.3076923076923077	0.0	0.6775897713267472	0.0	7.0	13.0	0.24148756339048535	1.0	0.5296610169491526	0.8662701629890408	422581.0	405.0	0.004111425	4.1223181878505266e-05	15.0
AHDC1	4812	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	1.0	0.3333333333333333	0.0	1.0	0.0	0.5	1.0	1.0	1.0	0.8960573476702509	0.9944004157339776	738004.3	217.0	0.02515438	3.121233630167117e-05	10.0
AIDA	921	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.4361098996947231	0.7980204988555462	222205.8	392.0	0.001234602	2.220389713053781e-05	12.0
AIM1L	4986	0.0	0.0	0.0	0.5	0.0	1.0	0.5	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.2393489707994256	0.5815779471360398	1021101.0	217.0	0.02159451	0.0	0.0
AIM2	1032	0.0	0.0	0.0	0.6666666666666666	0.0	1.0	0.3333333333333333	0.0	1.0	0.0	2.0	3.0	1.0	1.0	0.2994908655286014	0.6605784249660129	97976.31	866.0	0.008364007	0.0	1.0
AJAP1	1236	0.0	0.0	0.0	0.6666666666666666	0.0	1.0	0.3333333333333333	0.0	1.0	0.0	2.0	3.0	1.0	1.0	0.2201188641866608	0.5532880446351015	5695.346	921.0	0.003660757	1.965776407963247e-06	3.0
AK4	672	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.25037556334501754	0.5970939496729154	280009.8	351.0	-0.008810368	2.965267905801107e-05	9.0
AK5	1689	0.16666666666666666	0.0	0.0	0.6666666666666666	0.0	1.0	0.16666666666666666	0.0	1.0	0.0	2.0	2.5	1.0	1.0	0.8849557522123894	0.9931129493134948	484699.3	536.0	-0.008071406	1.8151959906919063e-06	8.0
AKNAD1	2511	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.17571604287471446	0.4812662062240357	801073.5	236.0	0.008164691	0.0	1.0
