gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
ABCA4,6822.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,18.96714321545631,370.0,-0.001895926,0.0,1.0,6.068122632136892,1.6969559144619302,0.9248745110884354,0.05967171513007787,0.058355555555555536,0.14622761641519408,0,0,6,0,0
ABCB10,2217.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,17.964811264563924,277.0,0.02002447,2.798207415238828e-05,12.0,8.804893250431775,0.5057909085855647,0.04293186314905206,0.012954929965696266,0.0395,0.04,0,0,2,0,0
ABCD3,1980.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.81072412480923,348.0,-0.007712561,0.00016227685446233104,50.0,9.846121353429265,0.5356216650200188,0.04826840213192142,0.023358911451664747,0.0541,0.0583,0,0,1,0,0
ABL2,3549.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.32539769382264,301.0,0.0055768530000000005,0.00013322127512867526,35.0,8.957585205390979,0.6042248138691181,0.26507288268141105,0.2557007346947617,0.03829798367477802,0.13736636536981742,0,0,2,0,0
ACADM,1278.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,17.22067023076923,578.0,-0.01324586,8.213403646317276e-05,49.0,10.11413856290761,0.5748817763271339,0.011159389833316522,0.006106974778845485,0.0274,0.047783626902946574,0,0,3,0,0
ACBD3,1587.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.52879231723525,214.0,0.02416004,0.00014136214738912968,24.0,10.63319403796072,0.36703759368267497,0.049443422989221095,0.031447415714241075,0.03829798367477802,0.13736636536981742,0,0,1,0,0
ACOT7,1143.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.295783505122095,176.0,0.02580471,8.441698555815318e-05,25.0,9.055761473787367,0.7187975588775161,0.024458434532604014,0.016243591861473998,0.12605000000000002,0.12425,0,0,2,0,0
ACP6,1287.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.2366618235896,463.80403948712126,0.01834363665852081,3.0041311957330638e-06,10.0,8.667760137409202,0.6870556879831758,0.052911719762678375,0.01830241440363747,0.028800000000000006,0.0275,0,0,1,0,0
ACTA1,1134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.893006391031314,361.0,0.02946144,0.0010771302966454367,109.0,1.6548817975591052,1.356262473666093,0.1912201304617182,0.20394864469457616,-0.28185,0.28095,1,0,2,0,0
ACTL8,1101.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,17.931356766145438,416.0,0.02650356,0.0,1.0,3.8345990328862567,2.502222090144319,0.2480662770017388,0.10055641820365303,0.02235,0.025118767883795568,0,0,4,0,0
ACTN2,2685.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,18.70448694205385,682.0,-0.009612596,0.00024635454564851135,62.0,2.385749999269257,1.540421153404051,0.31507106429770304,0.28098572465750343,0.13015,0.12271311054651005,0,0,2,0,0
ADAM15,2592.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.69431792441802,214.0,0.04370952,7.289549375923378e-05,31.0,11.19365749873554,0.6439787452954793,0.03278246466266472,0.02010526334698,0.1455,0.16383454051776342,0,0,3,0,0
ADAM30,2373.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.57346672099513,560.0,0.009313993000000001,0.0,0.0,0.020906632245438667,0.4505818947279433,0.7431172645656401,0.2285179066658096,0.2226,0.2217,0,0,1,0,0
ADAMTS4,2514.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,19.474906069300577,234.0,0.03749509,1.26441181554528e-06,3.0,7.181372675803404,1.4828378858648203,0.8093810077204036,0.16897653032436885,0.18844,0.24125058839306485,1,0,6,0,0
ADAMTSL4,3225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.49291914767253,152.0,0.03127347,0.0005887446183600722,107.0,7.4973118824807825,1.0339584028235822,0.2480662770017388,0.10055641820365303,0.13383333333333333,0.17376358140364806,1,0,4,0,0
ADAR,3681.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.87831140509346,403.0,0.03639176,2.7678090715688286e-05,39.0,13.227001756509983,0.5310093802797514,0.018513211582850023,0.03528152407618025,0.26761111111111113,0.2805395969058535,1,0,6,0,0
ADCK3,1944.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.64932846204924,481.0,0.004611321,0.0001259815539826139,13.0,6.938141194178593,0.5779694709092879,0.2480662770017388,0.10055641820365303,0.03829798367477802,0.13736636536981742,0,0,1,0,0
ADCY10,4833.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,19.02813188580619,238.0,0.01328722,0.0,0.0,0.6533930486004962,0.5905409481954311,0.2480662770017388,0.10055641820365303,0.09371666666666667,0.09440092543096293,0,0,4,1,0
ADIPOR1,1128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68416885947066,389.0,0.03032769,3.8266747506163036e-05,11.0,11.556214274344859,0.3803729232425769,0.028879860403272683,0.02304119531635404,0.03829798367477802,0.13736636536981742,0,0,1,0,0
ADORA1,981.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.839320369899735,453.0,0.03682687,9.132376682258703e-06,7.0,7.794520273553785,1.2355599950022154,0.4138411178071885,0.2156290853089141,-0.0579,0.0621,0,0,2,0,0
ADORA3,1044.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,18.513038601931182,330.0,0.02739502,4.1604108441729285e-06,12.0,7.715719857571178,1.2692049135177508,0.3238367147821457,0.25992188844333397,0.1231,0.2521098669231333,0,0,1,1,0
ADPRHL2,1092.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.703438094335414,282.0,0.02710964,4.582696043844408e-06,10.0,10.49330379059578,0.5405609496950554,0.04251922197280993,0.02618551119875289,0.0516,0.051800000000000006,0,0,1,0,0
ADSS,1371.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.437640738933734,534.0,0.002229515,4.507730553260728e-05,40.0,10.836739133113628,0.5028340615191033,0.2480662770017388,0.10055641820365303,0.14595,0.14325,0,0,1,0,0
AGBL4,1512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.00879537716172,1041.0,-0.01843567,0.0,0.0,2.6373819874189346,1.5960043767827017,0.2480662770017388,0.10055641820365303,0.08015,0.08115,0,0,1,0,0
AGL,4599.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,18.144227050590228,595.0,0.008860483,0.00015715112145144264,47.0,9.139761282572813,0.6404977092846332,0.023880804934519204,0.015221319161012912,0.09925,0.09885,0,0,2,0,0
AGRN,6138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.910844717055358,239.0,0.01491109,9.33204613905154e-06,10.0,13.515948656908801,0.8299345745844592,0.2480662770017388,0.10055641820365303,0.03829798367477802,0.13736636536981742,0,0,1,0,0
AGT,1458.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.688158430031887,568.0,0.00627829,5.497217174772501e-05,11.0,4.288188110475403,2.1724822130333146,0.784663034031753,0.16937936304172307,0.1331,0.13269999999999998,0,0,1,0,0
AHCTF1,6828.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,18.688871791014453,405.0,0.004111425,4.1223181878505266e-05,15.0,10.102413128035916,0.5313654783617834,0.8020038078636315,0.2094342485267212,0.16275,0.2515867295784895,0,0,2,0,0
