gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
AADACL3	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.2	0.2	0.0	0.6	0.0	1.0	0.0	0.0	1.0	0.0	1.5	2.0	0.1552553951249806	1.0	0.8554319931565441	0.9890065718476744	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	3.0	1.0	1.0	0.4819277108433735	0.8337162186422465	512481.5	370.0	-0.001895926	0.0	1.0
ABCB10	2217	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.04750593824228029	1.0	1.0	1.0	255826.4	277.0	0.02002447	2.798207415238828e-05	12.0
ABCD3	1980	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ACTA1	1134	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	243405.2	361.0	0.02946144	0.0010771302966454367	109.0
ACTN2	2685	0.5	0.5	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.5	0.2222716159146477	1.0	1.0	1.0	427179.7	682.0	-0.009612596	0.00024635454564851135	62.0
ADAM15	2592	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.24230676035861398	1.0	0.9017132551848512	0.995003343884788	1696720.0	214.0	0.04370952	7.289549375923378e-05	31.0
ADAM30	2373	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2574002574002574	0.6067240627592307	390094.2	560.0	0.009313993000000001	0.0	0.0
ADAMTS4	2514	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	3.0	1.0	1.0	0.2103049421661409	0.5382117131435025	728669.0	234.0	0.03749509	1.26441181554528e-06	3.0
ADAMTSL4	3225	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3552397868561279	0.7228995600680831	1475649.0	152.0	0.03127347	0.0005887446183600722	107.0
ADAR	3681	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4757373929590866	0.8291575986939863	1927515.0	403.0	0.03639176	2.7678090715688286e-05	39.0
ADCK3	1944	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.1820830298616169	1.0	0.4063388866314506	0.7722745922019175	411155.6	481.0	0.004611321	0.0001259815539826139	13.0
ADCY10	4833	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	534610.7	238.0	0.01328722	0.0	0.0
ADIPOR1	1128	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.07528419784687193	0.270005647982411	421205.7	389.0	0.03032769	3.8266747506163036e-05	11.0
ADORA1	981	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4657661853749418	0.8216448620850694	469028.9	453.0	0.03682687	9.132376682258703e-06	7.0
ADORA3	1044	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.09686168151879117	0.32298249533672674	374092.3	330.0	0.02739502	4.1604108441729285e-06	12.0
ADSS	1371	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.22099447513812154	0.5546116192600863	710088.2	534.0	0.002229515	4.507730553260728e-05	40.0
AGL	4599	0.0	0.25	0.0	0.75	0.0	1.0	0.0	0.0	1.0	0.0	3.0	4.0	0.4418912947414936	1.0	0.38138825324180015	0.7490226488716659	289704.4	595.0	0.008860483	0.00015715112145144264	47.0
AGRN	6138	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5906674542232723	0.9016551111346712	1971475.0	239.0	0.01491109	9.33204613905154e-06	10.0
AGT	1458	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	422372.1	568.0	0.00627829	5.497217174772501e-05	11.0
AHCYL1	1593	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.32819166393173616	0.6938488677399318	660514.6	373.0	0.02916888	0.0006639074283931484	139.0
AHDC1	4812	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.3333333333333333	1.3333333333333333	1.0	1.0	0.6325110689437066	0.9222375447358222	738004.3	217.0	0.02515438	3.121233630167117e-05	10.0
AIM1L	4986	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5473453749315819	0.8772169005998193	1021101.0	217.0	0.02159451	0.0	0.0
AIM2	1032	0.5	0.0	0.0	0.25	0.0	1.0	0.25	0.0	1.0	0.0	0.3333333333333333	0.6666666666666666	1.0	1.0	0.9514747859181732	0.9988031321549136	97976.31	866.0	0.008364007	0.0	1.0
AJAP1	1236	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.5750431282346176	0.893220376867249	5695.346	921.0	0.003660757	1.965776407963247e-06	3.0
AK2	720	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.15248551387618176	0.4392628359900058	807536.0	233.0	0.02683501	5.0947884545253496e-05	31.0
AK5	1689	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.06629541235746486	0.2461969357860057	484699.3	536.0	-0.008071406	1.8151959906919063e-06	8.0
AKNAD1	2511	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.30959752321981426	0.67259508892711	801073.5	236.0	0.008164691	0.0	1.0
AKR1A1	978	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.33579583613163194	0.7022336918273395	873799.5	161.0	0.02696786	1.2433906867666788e-05	28.0
AKR7A2	1080	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.7097232079489	0.953073266796695	810462.2	448.0	0.04036309	5.764122722169605e-06	9.0
