gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
A3GALT2,1023.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.2535762371158,459.9333805095026,0.018382919206535144,0.0,0.0,7.2182657010534825,0.5980093438084915,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,0,0,2,0,0
AADACL3,1224.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.05236904529315035,0.19696835602691398,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,0,0,1,0,0
AADACL4,1224.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.2234811704593357,0.4956905876528901,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,0,0,2,0,0
ABCA4,6822.0,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,18.96714321545631,370.0,-0.001895926,0.0,1.0,2.76356908849533,1.4207710023216915,0.930425914842494,0.02890752670466548,-0.10092222222222223,0.11792632142126122,0,0,6,1,0
ABCB10,2217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.964811264563924,277.0,0.02002447,2.798207415238828e-05,12.0,8.759801836272839,0.4386273809636404,0.04061104368665305,0.009044883686729248,0.06384999999999999,0.06455,0,0,2,0,0
ABCD3,1980.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.81072412480923,348.0,-0.007712561,0.00016227685446233104,50.0,10.165803107497783,0.4485141460823173,0.05907004762245214,0.023397411915365124,-0.06520000000000001,0.0645,0,0,2,0,0
ABL2,3549.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.32539769382264,301.0,0.0055768530000000005,0.00013322127512867526,35.0,9.922750434565351,0.5595331942518064,0.2354320641405692,0.19718330669893205,0.06384999999999999,0.06455,0,0,2,0,0
ACBD3,1587.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,19.52879231723525,214.0,0.02416004,0.00014136214738912968,24.0,10.704536556704689,0.4901454902837421,0.04859630004000433,0.021637943747903447,0.06384999999999999,0.06455,1,0,3,0,0
ACOT7,1143.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.295783505122095,176.0,0.02580471,8.441698555815318e-05,25.0,9.276190806738413,0.7086590715336256,0.03165778459806702,0.00945125086906018,-0.06520000000000001,0.0645,0,0,1,0,0
ACTA1,1134.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,17.893006391031314,361.0,0.02946144,0.0010771302966454367,109.0,1.8063878523218684,1.0284384068529622,0.3733462965548559,0.14794899074659296,0.031975,0.05567483161177947,0,0,3,0,0
ACTN2,2685.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,18.70448694205385,682.0,-0.009612596,0.00024635454564851135,62.0,2.961447031662744,1.2881480261699896,0.4923535118977575,0.18640625685374154,0.06384999999999999,0.06455,0,0,6,0,0
ACTRT2,1134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23261907052082,634.0,0.01910433,0.0,0.0,0.013299261322283066,0.08611308378567342,0.27105541437610176,0.0845062669111164,0.004683016960492372,0.04338087009593526,0,0,1,0,0
ADAM30,2373.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.57346672099513,560.0,0.009313993000000001,0.0,0.0,0.012417148476982729,0.08060189336666786,0.7806125289598141,0.15753955001255712,-0.0203,0.006400000000000001,0,0,2,0,0
ADAMTS4,2514.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,19.474906069300577,234.0,0.03749509,1.26441181554528e-06,3.0,9.891070697384908,1.2072729634629102,0.7038330146040127,0.09806992834234572,0.06384999999999999,0.06455,0,0,2,0,0
ADAMTSL4,3225.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,20.49291914767253,152.0,0.03127347,0.0005887446183600722,107.0,8.883196974795178,1.5013741325367926,0.27105541437610176,0.0845062669111164,0.07975,0.08462050086513709,1,0,5,0,0
ADAR,3681.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,20.87831140509346,403.0,0.03639176,2.7678090715688286e-05,39.0,12.782867646907734,0.3865754603132791,0.02028806386702664,0.004024720114572646,0.0519,0.05747016617341558,2,0,6,0,0
ADCK3,1944.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,18.64932846204924,481.0,0.004611321,0.0001259815539826139,13.0,7.2182657010534825,0.5980093438084915,0.27105541437610176,0.0845062669111164,0.06384999999999999,0.06455,0,0,3,0,0
ADCY10,4833.0,0.125,0.125,0.0,0.75,0.0,0.0,0.0,0.0,19.02813188580619,238.0,0.01328722,0.0,0.0,1.0234767982765929,0.6592934636978794,0.27105541437610176,0.0845062669111164,0.055449999999999985,0.06322596381234531,0,0,8,0,0
ADIPOR1,1128.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.68416885947066,389.0,0.03032769,3.8266747506163036e-05,11.0,11.384006513185073,0.3762365253896879,0.02421863229192781,0.0076867924719471546,0.06384999999999999,0.06455,0,0,2,0,0
ADORA3,1044.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.513038601931182,330.0,0.02739502,4.1604108441729285e-06,12.0,7.1820514767208055,1.3300350331118698,0.6033729929502268,0.2168279043120485,-0.06520000000000001,0.0645,0,1,2,0,0
ADPRHL2,1092.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.703438094335414,282.0,0.02710964,4.582696043844408e-06,10.0,9.559812844225016,0.3603260874319771,0.0426109990280579,0.008388508606554644,-0.06520000000000001,0.0645,0,0,1,0,0
ADSS,1371.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,19.437640738933734,534.0,0.002229515,4.507730553260728e-05,40.0,10.36578588664908,0.5176010966993388,0.27105541437610176,0.0845062669111164,0.06384999999999999,0.06455,0,0,2,0,0
AGL,4599.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,18.144227050590228,595.0,0.008860483,0.00015715112145144264,47.0,8.885567439810341,0.5094717909947271,0.03338746468969142,0.02723635769592321,-0.06520000000000001,0.0645,0,0,3,0,0
AGRN,6138.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,20.910844717055358,239.0,0.01491109,9.33204613905154e-06,10.0,12.80436791990958,1.1230622262823498,0.27105541437610176,0.0845062669111164,0.004683016960492372,0.04338087009593526,0,0,3,0,0
AHCTF1,6828.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,18.688871791014453,405.0,0.004111425,4.1223181878505266e-05,15.0,10.12447635382841,0.3710597392203065,0.8765334134264925,0.05866004853277178,0.06385,0.06455,0,0,4,0,0
AHCYL1,1593.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.333233109757305,373.0,0.02916888,0.0006639074283931484,139.0,11.54673577037838,0.3465819663497035,0.04044265200062473,0.01584141148993038,-0.06520000000000001,0.0645,0,0,1,0,0
AHDC1,4812.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,19.493271651503324,217.0,0.02515438,3.121233630167117e-05,10.0,9.841335429584623,0.5766882765207054,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,0,0,2,0,0
AIDA,921.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.761543441371593,392.0,0.001234602,2.220389713053781e-05,12.0,10.255963064984856,0.4244650277779374,0.27105541437610176,0.0845062669111164,-0.026750000000000003,0.027150000000000004,0,0,1,0,0
AJAP1,1236.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,12.475821063923526,921.0,0.003660757,1.965776407963247e-06,3.0,4.316273561588311,1.4977045990388915,0.3811026159543601,0.16533675415566254,-0.016054545454545464,0.0712231750286171,0,1,8,0,0
AK2,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.623168837641032,233.0,0.02683501,5.0947884545253496e-05,31.0,10.842792798057294,0.3371869989247869,0.029541101656656805,0.015187338557285816,-0.06520000000000001,0.0645,0,0,1,0,0
AKNAD1,2511.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.6115768940777,236.0,0.008164691,0.0,1.0,1.0018786681256728,0.8126084451315577,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,0,0,1,0,0
AKR7A2,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.62838715446363,448.0,0.04036309,5.764122722169605e-06,9.0,9.894888535840977,0.3957498654031433,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,0,0,1,0,0
AKT3,1440.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.672665660627644,954.0,-0.003878738,1.1796062775878878e-05,12.0,9.360077220828801,1.009459612665855,0.6219942174044969,0.2596847657095944,0.15545,0.15715,0,1,2,0,0
ALDH4A1,1692.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.293563700334712,453.0,0.02718929,1.57249907427897e-05,23.0,8.151791947777356,0.5606822045842621,0.04388272580346241,0.014724958691950632,-0.03836666666666667,0.06534438682005432,0,0,3,0,0
ALDH9A1,1557.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.295947359341085,408.0,-0.0003845727,4.424209178282366e-06,14.0,10.543978298777347,0.3833968233106131,0.04450169596132323,0.011950175011717105,0.004683016960492372,0.04338087009593526,0,0,1,0,0
ALPL,1575.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.063782932514343,297.0,0.0418635,0.0,2.0,7.55991807452228,1.2323172491764292,0.313519295609409,0.14435517761648567,-0.06520000000000001,0.0645,0,0,1,0,0
AMIGO1,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.01039697762005,272.0,0.03738143,1.7706509134063115e-05,13.0,6.094978788543551,0.9879822507398586,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,0,0,1,0,0
AMPD2,2640.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.916244241850933,201.0,0.029085700000000006,1.391998329508335e-05,15.0,10.42327176141461,0.3467954322370012,0.060123934515856875,0.010092303234332922,0.004683016960492372,0.04338087009593526,0,0,1,0,0
AMY2A,1536.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.731641479761866,1015.0,-0.01987349,5.448971747492104e-07,4.0,7.153290132791659,5.509508000010191,0.7795983220692783,0.15046075184348295,0.00905,0.00695,0,0,1,0,0
ANGEL2,1635.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.269041276002284,412.0,0.01206556,1.6735744881134956e-06,7.0,8.888415060488086,0.3597336680185652,0.05054672477566121,0.009013173003200316,0.004683016960492372,0.04338087009593526,0,0,1,0,0
ANGPTL3,1383.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.2535762371158,459.9333805095026,0.018382919206535144,0.0,1.0,1.7115978464164898,1.3828259736627029,0.8586022108242397,0.06356608617194431,-0.06520000000000001,0.0645,0,1,2,0,0
ANKRD13C,1626.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,18.17413034693236,396.0,-0.001240119,2.9449640668634333e-06,4.0,8.940041937108735,0.3396762017559999,0.27105541437610176,0.0845062669111164,-0.04635,0.05283836201094808,0,0,1,1,0
ANKRD34A,1491.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.2535762371158,459.9333805095026,0.018382919206535144,0.0,0.0,5.501724346787172,0.6909990477706249,0.27105541437610176,0.0845062669111164,-0.0007,0.0,0,0,1,0,0
ANKRD35,3006.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,19.2535762371158,459.9333805095026,0.018382919206535144,0.0,1.0,6.463222384136095,0.9973410307804952,0.137634102047167,0.11421136119785665,-0.0007,0.0,0,0,2,0,0
AP4B1,2220.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,18.35479862292078,545.0,0.01264193,4.619835438584507e-07,4.0,9.032046133244684,0.5451970103601693,0.0344292382346322,0.011177640815740488,-0.0652,0.0645,0,0,5,0,0
APH1A,798.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.21032770213461,197.0,0.0377598,0.0002772319474764497,22.0,12.239625617812276,0.4390938090543077,0.27105541437610176,0.0845062669111164,0.06384999999999999,0.06455,0,0,2,0,0
APOA1BP,867.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.966844782842887,180.0,0.03700808,1.4979174865977625e-05,16.0,10.583714181120364,0.5780858179630161,0.061425034083906864,0.04336134428958623,0.06384999999999999,0.06455,0,0,1,0,0
AQP10,906.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.65691448447981,236.0,0.02906639,0.0,0.0,2.4339580896236086,1.6619637087232546,0.3279802996092952,0.1674434769599129,0.18505,0.18595,0,0,1,0,0
ARF1,546.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.422389635004965,391.0,0.004712539,0.0006830671235435329,80.0,13.505948474002006,0.3440660204349549,0.014307668874593813,0.002393526058454537,0.06384999999999999,0.06455,0,0,1,0,0
ARHGAP29,3786.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,18.83041833826032,327.0,-0.008548422,1.1210784456458e-05,9.0,9.479504214063596,0.9352331926738154,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,0,0,4,0,0
ARHGAP30,3306.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.39421585748761,250.0,0.02271094,0.0,0.0,9.21144917844864,1.272699789843624,0.27105541437610176,0.0845062669111164,0.06384999999999999,0.06455,0,0,2,0,0
ARHGEF10L,3840.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.517504849026142,279.0,0.03035749,0.0,0.0,10.27340568656728,0.5248420219178576,0.059509635927590274,0.03134730397601058,-0.06520000000000001,0.0645,0,0,2,0,0
ARHGEF11,4689.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,19.87001125164467,350.0,0.03612695,6.617398398325312e-05,15.0,10.307971902828482,0.4107477145575129,0.11851662548089692,0.09963042100992306,0.06385,0.06455,0,0,4,0,0
ARHGEF16,2130.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.922591951571558,483.0,0.02143424,1.5429093062171875e-06,5.0,9.889305976076573,1.0814334132678154,0.8353879683831562,0.06896824666226811,-0.06520000000000001,0.0645,1,0,2,0,0
ARHGEF19,2409.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.6535445188694,186.0,0.04027805,0.0,0.0,8.159712028696406,0.8002561513954772,0.3635717428963121,0.07808904760068862,-0.0652,0.0645,0,0,3,0,0
ARID1A,6858.0,0.0,0.3,0.1,0.3,0.0,0.3,0.0,0.0,19.89647151135277,182.0,0.02749164,0.00010715271733528008,52.0,10.952951522925089,0.4312574882724879,0.04591427149436204,0.01804475798540983,-0.04222000000000002,0.07435217952420763,0,0,7,2,1
ARID4B,3939.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,19.071373846444573,297.0,0.02157151,2.694120469680005e-05,21.0,10.042439538571145,0.42073060863267975,0.27105541437610176,0.0845062669111164,0.06384999999999999,0.06455,0,0,3,0,0
ARPC5,465.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.213984175994973,407.0,0.02430015,2.388266858807965e-05,28.0,12.19569638245617,0.3942624960952323,0.04212757679488037,0.012581953914683437,0.06384999999999999,0.06455,1,0,2,0,0
ASAP3,2712.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20.003026469709308,159.0,0.02943262,8.808401607953754e-06,6.0,8.877757184281215,0.6853111831486155,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,1,0,3,0,0
ASH1L,8895.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,20.902882929227122,247.0,0.03315029,1.4643366527007545e-07,5.0,10.613405913281843,0.5258458518859512,0.03359479393424622,0.007067576030128789,0.057349999999999984,0.06251733759526233,0,0,6,0,0
ASPM,10434.0,0.2727272727272727,0.09090909090909093,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,17.75876649180669,614.0,-0.02455929,4.4378853334342045e-05,20.0,7.708779767419525,1.2448662160526671,0.041778377796355334,0.012061842208846565,0.06384999999999999,0.06455,0,0,11,0,0
ASTN1,3885.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,12.676779337546588,940.0,-0.009137709,0.0,0.0,4.266065505831397,2.199042560650713,0.27105541437610176,0.0845062669111164,0.059799999999999985,0.062055827399896235,0,0,10,0,0
ATAD3A,1905.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20.70933122936915,248.0,0.02688662,0.00010712079593960285,52.0,9.342869988469227,0.6985655630159548,0.04509905848428899,0.012793060434036366,0.004683016960492372,0.04338087009593526,0,0,2,0,0
ATAD3C,1236.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.718474345664546,187.0,0.02728094,2.2670096203953265e-07,3.0,6.614585037709485,1.3434701401501103,0.6095450119039555,0.15609895806268062,0.004683016960492372,0.04338087009593526,0,0,1,0,0
ATF3,546.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.674217445007255,224.0,0.02153846,9.266445443786476e-05,49.0,9.439734506045932,1.273658783992821,0.27105541437610176,0.0845062669111164,0.06384999999999999,0.06455,0,0,1,0,0
ATF6,2013.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.635661445151182,420.0,0.01621869,0.00013250541586656018,24.0,10.377843867439227,0.44426493957297997,0.04605333195178498,0.012708768943457894,0.004683016960492372,0.04338087009593526,0,0,1,0,0
ATP1A1,3072.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.233709308818906,464.0,0.01780357,0.00031393362629249385,102.0,14.527059264680517,0.6383457833748544,0.27105541437610176,0.0845062669111164,-0.06520000000000001,0.0645,1,0,2,0,0
ATP1A2,3063.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,19.67268620325319,386.0,0.02299702,1.0175730680950039e-05,15.0,5.189967977613117,2.0050716190341684,0.27105541437610176,0.0845062669111164,0.033525,0.054891546480309694,0,0,4,0,0
ATP1A4,3090.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,19.682785978668665,386.0,0.02907324,1.0179056657283298e-05,5.0,0.9910337351218768,0.9592380260572144,0.8328679547564718,0.06346525251329589,0.06384999999999999,0.06455,0,0,3,0,0
ATP5F1,771.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.60100794104916,348.0,0.02304096,0.0002453823278865976,79.0,11.115197584066863,0.3062152571675393,0.2935945719587834,0.2890881999734945,0.004683016960492372,0.04338087009593526,0,0,1,0,0
