gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
AADACL4,1224.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.06769402906022885,0.24323617114079515,0.2600170056115062,0.0912068706577008,0.0037,0.0,0,0,1,0,0
AHCTF1,6828.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.688871791014453,405.0,0.004111425,4.1223181878505266e-05,15.0,10.227624811034488,0.5159365976157931,0.6958997685492032,0.16337695496830848,0.05487499999999999,0.05959707941669625,0,0,2,0,0
AHDC1,4812.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.493271651503324,217.0,0.02515438,3.121233630167117e-05,10.0,10.41515413082007,0.5561209311569865,0.2600170056115062,0.0912068706577008,-0.0969,0.0985,0,0,1,0,0
ARHGAP30,3306.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.39421585748761,250.0,0.02271094,0.0,0.0,6.937403392105909,0.9478006083022688,0.2600170056115062,0.0912068706577008,0.07655,0.07505,0,0,1,0,0
ARHGEF10L,3840.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.517504849026142,279.0,0.03035749,0.0,0.0,10.475247661922763,0.651082849781654,0.0662468564586536,0.026919055397653692,0.0547,0.0568,0,0,1,0,0
ATAD3B,1947.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.70933122936915,248.0,0.02688662,5.1949212601205046e-05,36.0,7.846321665153936,0.749758502225299,0.2600170056115062,0.0912068706577008,0.01191374109064013,0.08856396908647628,0,0,1,0,0
ATP1B1,912.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.818922266129274,416.0,0.01888767,0.00021557803950513515,72.0,14.453016434661773,0.8013252123375794,0.08311045676905914,0.10915774235433452,0.24225,0.24185,0,0,1,0,0
ATP6V1G3,357.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.69127324737242,404.0,-0.01627596,0.0,0.0,0.005722934169442196,0.05368588124156736,0.6045287981542778,0.2978021605990285,0.02245,0.02135,0,0,1,0,0
ATP8B2,3672.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.693220640633296,236.0,0.03116069,3.208466694298593e-06,4.0,10.53323361975733,0.7843378305923426,0.028587323516302183,0.005874124233174525,0.1043,0.1047,0,0,1,0,0
BMP8A,1209.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.968741312966614,352.0,0.032781599999999994,0.0,1.0,7.513696802017168,1.0048572733186305,0.10091966080585864,0.05390085860116279,-0.3215,0.322,0,0,1,0,0
C1orf177,1257.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.99358442443648,249.0,0.02489867,0.0,0.0,0.7379981801935571,0.7119031672639904,0.6260464479537211,0.18960831469249007,-0.2881,0.28850000000000003,0,0,1,0,0
C1orf86,693.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.69672952438809,293.0,0.02456286,6.098820621252992e-05,14.0,9.250531062761986,0.667172365703229,0.0561806159291802,0.010770071821171595,0.01191374109064013,0.08856396908647628,0,0,1,0,0
CACHD1,3672.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.704497411483775,581.0,-0.005703065,4.9878139769460196e-06,3.0,5.735238335442804,1.4356464247575518,0.1734140789120366,0.18015780604930445,-0.349,0.3506,0,0,1,0,0
CD1B,1002.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.96743117255566,833.0,0.0037746459999999996,0.00011666186921844443,48.0,0.16147266739063826,0.35221696745665304,0.4325836029063238,0.20333811627375808,0.24225,0.24185,0,0,1,0,0
CDC73,1596.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12557894470142,442.0,-0.01162817,0.00023408035942439762,73.0,9.829985587369176,0.4185415928327244,0.05437953224497665,0.009508554179156171,0.03135,0.03045,0,0,1,0,0
CFH,3696.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.601662715685798,941.0,-0.02637393,0.00022494844118121503,14.0,8.562686690665744,1.4789881843089463,0.2600170056115062,0.0912068706577008,0.1041,0.1049,0,0,1,0,0
CHD5,5865.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.243924262058727,240.0,0.03039633,5.120663270611904e-07,16.0,9.15004459548815,1.7562958376063893,0.16750179645139188,0.2418518366700345,0.03765,0.03485,0,0,1,0,0
CHRM3,1773.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.666899414375319,1031.0,-0.02506452,1.967801924559257e-07,4.0,5.117739218902512,1.9367678223459064,0.2600170056115062,0.0912068706577008,0.03415,0.03395,0,0,1,0,0
CNTN2,3123.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.322120702598664,431.0,0.03723388,1.5079147748351169e-05,8.0,5.572757732532321,2.4077863155860064,0.29299159576781264,0.20520375350763254,0.07245,0.06825,0,0,1,0,0
COG2,2217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.532216267037533,568.0,0.002939075,1.2396483656936066e-05,17.0,9.333426972369214,0.4581821572842642,0.2120668390144005,0.16079107421425629,0.02015,0.01985,0,0,1,0,0
COL11A1,5457.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,15.199250577051352,742.0,-0.01974511,0.0,1.0,3.057083165448907,2.263309453924855,0.1392579794571268,0.15338636518116133,-0.03045,0.03065,0,0,2,0,0
COL16A1,4815.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.102797177941746,197.0,0.03662063,0.0,0.0,9.146054582232145,1.1899053098841588,0.2600170056115062,0.0912068706577008,0.04485,0.03905,0,0,1,0,0
